step,time_log
49,0.04950857162475586
99,0.06950592994689941
149,0.022001028060913086
199,0.06650972366333008
249,0.037001609802246094
299,0.0650029182434082
349,0.04199981689453125
399,0.04950857162475586
449,0.0595095157623291
499,0.026999950408935547
549,0.05050969123840332
599,0.028999805450439453
649,0.04199981689453125
699,0.05450797080993652
749,0.050002098083496094
799,0.05850958824157715
849,0.05651044845581055
899,0.042999982833862305
949,0.04950761795043945
999,0.0370023250579834
1049,0.04800248146057129
1099,0.05500221252441406
1149,0.048510074615478516
1199,0.04850649833679199
1249,0.050508975982666016
1299,0.056999921798706055
1349,0.06850624084472656
1399,0.05650830268859863
1449,0.06650805473327637
1499,0.0505070686340332
1549,0.05550980567932129
1599,0.05050778388977051
1649,0.048999786376953125
1699,0.058510541915893555
1749,0.056510210037231445
1799,0.04751157760620117
1849,0.04999995231628418
1899,0.05500292778015137
1949,0.043999671936035156
1999,0.052507638931274414
2049,0.06099987030029297
2099,0.04400014877319336
2149,0.05151057243347168
