step,std_view_emb
49,0.3740580081939697
99,0.3449942171573639
149,0.31042706966400146
199,0.29931461811065674
249,0.2795846462249756
299,0.2691223621368408
349,0.2519662082195282
399,0.24195215106010437
449,0.23505109548568726
499,0.2259182184934616
549,0.21705617010593414
599,0.2086421698331833
649,0.20426855981349945
699,0.1932603120803833
749,0.18857398629188538
799,0.1856974959373474
849,0.1726984977722168
899,0.1778344362974167
949,0.1663491129875183
999,0.16388151049613953
1049,0.15404513478279114
1099,0.15153898298740387
1149,0.14445175230503082
1199,0.14158117771148682
1249,0.13464544713497162
1299,0.1309005320072174
1349,0.1271054744720459
1399,0.1248701736330986
1449,0.1191369891166687
1499,0.11940128356218338
1549,0.11307181417942047
1599,0.11553884297609329
1649,0.10750749707221985
1699,0.10198892652988434
1749,0.10007228702306747
1799,0.09617440402507782
1849,0.0965169370174408
1899,0.0942736566066742
1949,0.08882022649049759
1999,0.08926922082901001
2049,0.08351525664329529
2099,0.08478361368179321
2149,0.07913083583116531
