step,kNN_accuracy
179,29.554140090942383
359,34.70063781738281
539,35.31209945678711
719,38.929935455322266
899,44.43312072753906
1079,43.77070236206055
1259,46.8535041809082
1439,49.65605163574219
1619,51.92356872558594
1799,51.74522399902344
1979,55.92356872558594
2159,49.47770690917969
2339,53.98725891113281
2519,57.60509490966797
2699,58.777069091796875
2879,57.96178436279297
3059,60.917198181152344
3239,62.11465072631836
3419,61.40127182006836
3599,61.528663635253906
3779,64.56050872802734
3959,58.08917236328125
4139,66.08917236328125
4319,70.08917236328125
4499,70.31847381591797
4679,71.28662109375
4859,70.70063781738281
5039,72.45860290527344
5219,71.87261199951172
5399,74.44586181640625
5579,74.49681854248047
5759,75.21018981933594
5939,76.43312072753906
6119,77.19744873046875
6299,76.61146545410156
6479,77.32484436035156
6659,77.78343963623047
6839,77.85987091064453
7019,77.80891418457031
7199,77.9363021850586
