step,Cor_feature_ij_01
17,0.5156059265136719
35,0.7789658308029175
53,0.8271674513816833
71,0.8286651372909546
89,0.7176061868667603
107,0.7586231231689453
125,0.6985169649124146
143,0.6826974153518677
161,0.6686058640480042
179,0.6505391597747803
197,0.6764572262763977
215,0.6872197389602661
233,0.6744879484176636
251,0.6979959011077881
269,0.6943916082382202
287,0.6604245901107788
305,0.6950358152389526
323,0.673846423625946
341,0.6962788105010986
359,0.724894642829895
377,0.7216455340385437
395,0.6821274757385254
413,0.7068206071853638
431,0.7083709836006165
449,0.7396035194396973
467,0.7004828453063965
485,0.7131880521774292
503,0.7122928500175476
521,0.7399354577064514
539,0.7001527547836304
557,0.7169746160507202
575,0.7298018932342529
593,0.722355842590332
611,0.7481823563575745
629,0.7708439230918884
647,0.7205528616905212
665,0.6994432806968689
683,0.6942691206932068
701,0.7330417037010193
719,0.7107269763946533
737,0.7420036196708679
755,0.7293475866317749
773,0.7243385314941406
791,0.7271771430969238
809,0.7055793404579163
827,0.7493963241577148
845,0.7614836692810059
863,0.7583514451980591
881,0.7839150428771973
899,0.7794595956802368
917,0.7606049180030823
935,0.7170088291168213
953,0.7489724159240723
971,0.7637084722518921
989,0.780729353427887
1007,0.7859190106391907
1025,0.7694511413574219
1043,0.793984055519104
1061,0.798743724822998
1079,0.8047353029251099
1097,0.7610127925872803
1115,0.7776629328727722
1133,0.7719502449035645
1151,0.764043927192688
1169,0.7593585252761841
1187,0.7648379802703857
1205,0.7834864258766174
1223,0.7548052668571472
1241,0.7643712759017944
1259,0.7815326452255249
1277,0.8124191761016846
1295,0.7943415641784668
1313,0.7799345850944519
1331,0.7667958736419678
1349,0.754047691822052
1367,0.7508538961410522
1385,0.7901502251625061
1403,0.7695450186729431
1421,0.7779744863510132
1439,0.783953845500946
1457,0.7989209890365601
1475,0.788203239440918
1493,0.7587835788726807
1511,0.7602882385253906
1529,0.7779212594032288
1547,0.7945413589477539
1565,0.7677860856056213
1583,0.7795121669769287
1601,0.7835336923599243
1619,0.8086686134338379
1637,0.8452740907669067
1655,0.7887314558029175
1673,0.7958164215087891
1691,0.8173636198043823
1709,0.7743173837661743
1727,0.8114776611328125
1745,0.7931191325187683
1763,0.8018529415130615
1781,0.762992799282074
1799,0.7719800472259521
1817,0.7925412654876709
1835,0.8037033081054688
1853,0.8132436275482178
1871,0.792913556098938
1889,0.7798734307289124
1907,0.7909773588180542
1925,0.7798681259155273
1943,0.8037678003311157
1961,0.7807986736297607
1979,0.7931549549102783
1997,0.8025350570678711
2015,0.8093106746673584
2033,0.7934122085571289
2051,0.8014127016067505
2069,0.7784827947616577
2087,0.8010636568069458
2105,0.7948479056358337
2123,0.7953736782073975
2141,0.7888060808181763
2159,0.767879843711853
2177,0.8155725002288818
2195,0.79032301902771
2213,0.7419037818908691
2231,0.7810842990875244
2249,0.8252220153808594
2267,0.7951088547706604
2285,0.8123816251754761
2303,0.8142447471618652
2321,0.7767577171325684
2339,0.8076349496841431
2357,0.7975472211837769
2375,0.7880420088768005
2393,0.8230400085449219
2411,0.8017389178276062
2429,0.8178269863128662
2447,0.8040999174118042
2465,0.7687453031539917
2483,0.7989379167556763
2501,0.8018447160720825
2519,0.8028115034103394
2537,0.8228140473365784
2555,0.8124726414680481
2573,0.787389874458313
2591,0.8151774406433105
2609,0.8149511814117432
2627,0.7852290868759155
2645,0.8122247457504272
2663,0.8095587491989136
2681,0.8021611571311951
2699,0.7920563817024231
2717,0.8035337328910828
2735,0.8072059154510498
2753,0.8380680084228516
2771,0.7789487242698669
2789,0.8087242841720581
2807,0.8152296543121338
2825,0.7906420826911926
2843,0.8196465969085693
2861,0.8345849514007568
2879,0.8245543837547302
2897,0.8226302862167358
2915,0.8071907758712769
2933,0.8224562406539917
2951,0.8030174970626831
2969,0.8217970132827759
2987,0.8187957406044006
3005,0.8291811943054199
3023,0.8090274333953857
3041,0.8426189422607422
3059,0.8163865208625793
3077,0.7819547653198242
3095,0.8303897976875305
3113,0.8433115482330322
3131,0.8458992838859558
3149,0.8357933163642883
3167,0.8437835574150085
3185,0.8124531507492065
3203,0.787882924079895
3221,0.7873285412788391
3239,0.7995327115058899
3257,0.8166071176528931
3275,0.8008114099502563
3293,0.8142492771148682
3311,0.8198922872543335
3329,0.8202039003372192
3347,0.8465441465377808
3365,0.8023203015327454
3383,0.8074380159378052
3401,0.8215248584747314
3419,0.8317350745201111
3437,0.8171306848526001
3455,0.810592770576477
3473,0.81840980052948
3491,0.8076071739196777
3509,0.8167329430580139
3527,0.8229551911354065
3545,0.8181842565536499
3563,0.8079208135604858
3581,0.8258949518203735
3599,0.8029772639274597
3617,0.8279547691345215
