step,std_feature_emb
17,257.5946960449219
35,489.3533630371094
53,512.0728759765625
71,511.05877685546875
89,510.26251220703125
107,502.5019836425781
125,485.0211181640625
143,475.776611328125
161,464.08612060546875
179,452.945556640625
197,459.8843994140625
215,447.99993896484375
233,444.0518798828125
251,443.21527099609375
269,430.84588623046875
287,422.2951354980469
305,399.79888916015625
323,397.21923828125
341,388.99371337890625
359,372.11688232421875
377,359.5221252441406
395,339.68707275390625
413,342.13677978515625
431,326.5882873535156
449,316.530029296875
467,303.94720458984375
485,300.11810302734375
503,287.77593994140625
521,277.6642150878906
539,270.27301025390625
557,263.1321716308594
575,257.469482421875
593,249.08204650878906
611,245.49151611328125
629,234.01351928710938
647,226.02622985839844
665,219.4578857421875
683,211.78948974609375
701,205.84136962890625
719,196.50689697265625
737,188.5667724609375
755,178.6792449951172
773,171.26260375976562
791,168.00628662109375
809,161.5939483642578
827,158.184814453125
845,152.63616943359375
863,147.890625
881,143.36874389648438
899,141.07669067382812
917,135.17001342773438
935,131.224853515625
953,127.42079162597656
971,126.08098602294922
989,122.52301025390625
1007,121.90071868896484
1025,120.5013427734375
1043,116.66166687011719
1061,113.41810607910156
1079,107.56617736816406
1097,106.1805419921875
1115,101.59459686279297
1133,98.57798767089844
1151,96.08161926269531
1169,91.65474700927734
1187,88.57829284667969
1205,86.72294616699219
1223,83.5107421875
1241,81.75424194335938
1259,79.29727935791016
1277,77.76547241210938
1295,76.36213684082031
1313,74.1097412109375
1331,71.90821075439453
1349,70.80435943603516
1367,69.78396606445312
1385,69.23918151855469
1403,67.93905639648438
1421,65.56957244873047
1439,64.2445068359375
1457,62.70645523071289
1475,59.91401672363281
1493,57.229217529296875
1511,55.853736877441406
1529,53.49205017089844
1547,51.53831481933594
1565,49.982643127441406
1583,49.347190856933594
1601,47.97239685058594
1619,47.10584259033203
1637,45.84184265136719
1655,44.06650161743164
1673,43.45119094848633
1691,42.51399612426758
1709,41.257083892822266
1727,40.99615478515625
1745,40.31571960449219
1763,39.74175262451172
1781,38.465606689453125
1799,37.213661193847656
1817,36.70367431640625
1835,36.19047546386719
1853,34.94828414916992
1871,34.46891784667969
1889,33.84606170654297
1907,33.17853546142578
1925,32.381195068359375
1943,32.28293991088867
1961,31.47565460205078
1979,31.2393741607666
1997,30.273757934570312
2015,29.941082000732422
2033,29.008201599121094
2051,28.49489974975586
2069,27.576431274414062
2087,27.049034118652344
2105,26.61136817932129
2123,26.29360008239746
2141,25.873268127441406
2159,25.422412872314453
2177,25.09380531311035
2195,24.703144073486328
2213,24.08254051208496
2231,23.52080535888672
2249,23.196022033691406
2267,23.137210845947266
2285,22.70577621459961
2303,22.427631378173828
2321,22.153236389160156
2339,21.66567611694336
2357,21.35664939880371
2375,21.083927154541016
2393,20.754398345947266
2411,20.70541000366211
2429,20.324119567871094
2447,19.796926498413086
2465,19.505910873413086
2483,19.384201049804688
2501,18.60675621032715
2519,18.559246063232422
2537,18.44064712524414
2555,17.884183883666992
2573,17.773696899414062
2591,17.41617774963379
2609,17.394025802612305
2627,16.935665130615234
2645,16.703760147094727
2663,16.36458969116211
2681,16.170772552490234
2699,15.990964889526367
2717,15.844686508178711
2735,15.662782669067383
2753,15.281452178955078
2771,15.376267433166504
2789,14.79830551147461
2807,14.56126880645752
2825,14.358221054077148
2843,14.182228088378906
2861,13.986785888671875
2879,13.867563247680664
2897,13.693000793457031
2915,13.605231285095215
2933,13.365544319152832
2951,13.278054237365723
2969,12.874456405639648
2987,12.869361877441406
3005,12.714675903320312
3023,12.622320175170898
3041,12.576325416564941
3059,12.514869689941406
3077,12.413434982299805
3095,12.287181854248047
3113,12.17181396484375
3131,11.926921844482422
3149,11.672165870666504
3167,11.759737014770508
3185,11.629867553710938
3203,11.508891105651855
3221,11.339004516601562
3239,11.111249923706055
3257,11.034611701965332
3275,11.038176536560059
3293,11.066434860229492
3311,10.905571937561035
3329,10.903735160827637
3347,10.64240837097168
3365,10.530057907104492
3383,10.42314338684082
3401,10.393967628479004
3419,10.07887077331543
3437,10.100837707519531
3455,10.102070808410645
3473,10.054553031921387
3491,9.810842514038086
3509,9.759300231933594
3527,9.558646202087402
3545,9.573269844055176
3563,9.444009780883789
3581,9.513415336608887
3599,9.343992233276367
3617,9.456512451171875
3635,9.419267654418945
3653,9.182317733764648
3671,9.214847564697266
3689,9.099285125732422
3707,8.982126235961914
3725,9.116556167602539
3743,8.859243392944336
3761,8.732396125793457
3779,8.688467025756836
3797,8.473264694213867
3815,8.464975357055664
3833,8.452126502990723
3851,8.346065521240234
3869,8.321313858032227
3887,8.400883674621582
3905,8.35371208190918
3923,8.089540481567383
3941,8.228029251098633
3959,8.106353759765625
3977,8.099681854248047
3995,8.03099250793457
4013,8.0255126953125
4031,7.965877532958984
4049,7.8393168449401855
4067,7.72872257232666
4085,8.024526596069336
4103,7.804834365844727
4121,7.88189697265625
4139,7.751875877380371
4157,7.756103515625
4175,7.578949928283691
4193,7.534748077392578
4211,7.490942001342773
4229,7.447094440460205
4247,7.441888809204102
4265,7.299208164215088
4283,7.376593112945557
4301,7.363472938537598
4319,7.291341781616211
4337,7.1771650314331055
4355,7.186282157897949
4373,7.202229976654053
4391,7.092952728271484
4409,7.0176496505737305
4427,6.950803756713867
4445,6.916235446929932
4463,6.918947219848633
4481,6.902007102966309
4499,6.813851356506348
4517,6.729305744171143
4535,6.680769443511963
4553,6.68370246887207
4571,6.667541027069092
4589,6.623218536376953
4607,6.549740314483643
4625,6.59227180480957
4643,6.4470415115356445
4661,6.429365634918213
4679,6.43972110748291
4697,6.425919532775879
4715,6.349366188049316
4733,6.220574855804443
4751,6.245898246765137
4769,6.194709777832031
4787,6.195404052734375
4805,6.109149932861328
4823,6.1678385734558105
4841,6.072700023651123
4859,5.99287748336792
4877,5.937944412231445
4895,5.992387771606445
4913,5.876638889312744
4931,5.905261993408203
4949,5.929152488708496
4967,5.820322036743164
4985,5.741313934326172
5003,5.689455986022949
5021,5.759808540344238
5039,5.760221004486084
5057,5.607556343078613
5075,5.645137786865234
5093,5.582744598388672
5111,5.461066246032715
5129,5.524568557739258
5147,5.500363826751709
5165,5.400936603546143
5183,5.447055816650391
5201,5.385716915130615
5219,5.327022552490234
5237,5.307758808135986
5255,5.294151306152344
5273,5.288766860961914
5291,5.340217590332031
5309,5.332259178161621
5327,5.278912544250488
5345,5.280725479125977
5363,5.17262077331543
5381,5.179150104522705
5399,5.17259407043457
5417,5.164936065673828
5435,5.027949333190918
5453,5.071646690368652
5471,5.055743217468262
5489,4.99341344833374
5507,4.998368263244629
5525,4.936107158660889
5543,5.040119171142578
5561,4.953478813171387
5579,4.9156341552734375
5597,4.926897048950195
5615,4.941241264343262
5633,4.896029472351074
5651,4.893544673919678
5669,4.86007022857666
5687,4.832192897796631
5705,4.756961822509766
5723,4.75797176361084
5741,4.785727024078369
5759,4.79478645324707
5777,4.721489906311035
5795,4.725461959838867
5813,4.656808853149414
5831,4.744494915008545
5849,4.687965393066406
5867,4.635932922363281
5885,4.68903923034668
5903,4.651407718658447
5921,4.697339057922363
5939,4.546794414520264
5957,4.567255973815918
5975,4.626638889312744
5993,4.564920425415039
6011,4.549513339996338
6029,4.514703750610352
6047,4.6187357902526855
6065,4.488792419433594
6083,4.511385917663574
6101,4.501255035400391
6119,4.472825050354004
6137,4.479831695556641
6155,4.4359636306762695
6173,4.451482772827148
6191,4.498708724975586
