step,kNN_accuracy
1949,48.8751106262207
3899,55.68442916870117
5849,60.123985290527344
7799,63.1636848449707
9749,65.80342102050781
11699,67.8232192993164
13649,69.76302337646484
15599,70.58294677734375
17549,71.72283172607422
19499,72.2427749633789
