step,train_loss
49,-0.5838354825973511
99,-0.7734836935997009
149,-0.797004222869873
199,-0.8135398626327515
249,-0.8109856247901917
299,-0.8241997361183167
349,-0.7772344350814819
399,-0.8009616732597351
449,-0.7627450227737427
499,-0.6558747291564941
549,-0.698949933052063
599,-0.692225456237793
649,-0.7376009225845337
699,-0.7458040714263916
749,-0.7500773668289185
799,-0.7077470421791077
849,-0.7176536321640015
899,-0.669926643371582
949,-0.7590727210044861
999,-0.7754279375076294
1049,-0.7434556484222412
1099,-0.764244794845581
1149,-0.8067432641983032
1199,-0.8242400884628296
1249,-0.7152038812637329
1299,-0.7852060198783875
1349,-0.6922992467880249
1399,-0.8106968402862549
1449,-0.7606709003448486
1499,-0.7731897830963135
1549,-0.7293204665184021
1599,-0.7075903415679932
1649,-0.7314560413360596
1699,-0.7615928053855896
1749,-0.6829003095626831
1799,-0.7378038167953491
1849,-0.7514492273330688
1899,-0.6560118198394775
1949,-0.6463636755943298
1999,-0.6666008234024048
2049,-0.6926410794258118
2099,-0.7530645132064819
2149,-0.6872373819351196
2199,-0.7126379013061523
2249,-0.7061535716056824
2299,-0.646064043045044
2349,-0.7248797416687012
2399,-0.7237104773521423
2449,-0.6759958267211914
2499,-0.6536862850189209
2549,-0.7324124574661255
2599,-0.765379011631012
2649,-0.7022081613540649
2699,-0.7054123878479004
2749,-0.7227698564529419
2799,-0.7063302993774414
2849,-0.6948496103286743
2899,-0.7808264493942261
2949,-0.6141806840896606
2999,-0.6728600859642029
3049,-0.6852400898933411
3099,-0.790347158908844
3149,-0.7626616954803467
3199,-0.8078029155731201
3249,-0.8269933462142944
3299,-0.8029865622520447
3349,-0.784295380115509
3399,-0.740924596786499
3449,-0.7281278967857361
3499,-0.7089884281158447
3549,-0.6588188409805298
3599,-0.7394634485244751
3649,-0.7036828994750977
3699,-0.6314858794212341
3749,-0.6936541795730591
3799,-0.7233264446258545
3849,-0.6402088403701782
3899,-0.676398515701294
3949,-0.6418814659118652
3999,-0.6128507852554321
4049,-0.6613615155220032
4099,-0.7322989702224731
4149,-0.7521258592605591
4199,-0.7435297966003418
4249,-0.7664714455604553
4299,-0.7883685827255249
4349,-0.6684990525245667
4399,-0.7051539421081543
4449,-0.711036205291748
4499,-0.735550045967102
4549,-0.8027432560920715
4599,-0.6465318202972412
4649,-0.7154608368873596
4699,-0.7098196744918823
4749,-0.7027065753936768
4799,-0.7050492167472839
4849,-0.6847489476203918
4899,-0.7667946219444275
4949,-0.6674292087554932
4999,-0.7195100784301758
5049,-0.740708589553833
5099,-0.74538254737854
5149,-0.7384164333343506
5199,-0.8162698149681091
5249,-0.7282223701477051
