step,kNN_accuracy
179,52.48407745361328
359,58.649681091308594
539,62.1401252746582
719,66.49681091308594
899,66.4713363647461
1079,70.62419891357422
1259,71.56687927246094
1439,72.96815490722656
1619,73.78343963623047
1799,74.26751708984375
1979,76.22930145263672
2159,76.61146545410156
2339,77.32484436035156
2519,79.0063705444336
2699,77.42675018310547
2879,79.66879272460938
3059,79.87261199951172
3239,81.60509490966797
3419,81.63057708740234
3599,82.80254364013672
3779,82.57324981689453
3959,83.03184509277344
4139,84.0
4319,85.07006072998047
4499,85.27388763427734
4679,85.29936218261719
4859,85.7579574584961
5039,85.73248291015625
5219,85.7579574584961
5399,86.57324981689453
5579,87.05731964111328
5759,87.43949127197266
5939,87.61783599853516
6119,87.89808654785156
6299,87.89808654785156
6479,88.05095672607422
6659,88.02548217773438
6839,88.33120727539062
7019,88.58598327636719
7199,88.33120727539062
