step,epoch
17,0
35,0
53,1
71,1
89,2
107,2
125,3
143,3
161,4
179,4
179,4
197,5
215,5
233,6
251,6
269,7
287,7
305,8
323,8
341,9
359,9
359,9
377,10
395,10
413,11
431,11
449,12
467,12
485,13
503,13
521,14
539,14
539,14
557,15
575,15
593,16
611,16
629,17
647,17
665,18
683,18
701,19
719,19
719,19
737,20
755,20
773,21
791,21
809,22
827,22
845,23
863,23
881,24
899,24
899,24
917,25
935,25
953,26
971,26
989,27
1007,27
1025,28
1043,28
1061,29
1079,29
1079,29
1097,30
1115,30
1133,31
1151,31
1169,32
1187,32
1205,33
1223,33
1241,34
1259,34
1259,34
1277,35
1295,35
1313,36
1331,36
1349,37
1367,37
1385,38
1403,38
1421,39
1439,39
1439,39
1457,40
1475,40
1493,41
1511,41
1529,42
1547,42
1565,43
1583,43
1601,44
1619,44
1619,44
1637,45
1655,45
1673,46
1691,46
1709,47
1727,47
1745,48
1763,48
1781,49
1799,49
1799,49
1817,50
1835,50
1853,51
1871,51
1889,52
1907,52
1925,53
1943,53
1961,54
1979,54
1979,54
1997,55
2015,55
2033,56
2051,56
2069,57
2087,57
2105,58
2123,58
2141,59
2159,59
2159,59
2177,60
2195,60
2213,61
2231,61
2249,62
2267,62
2285,63
2303,63
2321,64
2339,64
2339,64
2357,65
2375,65
2393,66
2411,66
2429,67
2447,67
2465,68
2483,68
2501,69
2519,69
2519,69
2537,70
2555,70
2573,71
2591,71
2609,72
2627,72
2645,73
2663,73
2681,74
2699,74
2699,74
2717,75
2735,75
2753,76
2771,76
2789,77
2807,77
2825,78
2843,78
2861,79
2879,79
2879,79
2897,80
2915,80
2933,81
2951,81
2969,82
2987,82
3005,83
3023,83
3041,84
3059,84
3059,84
3077,85
3095,85
3113,86
3131,86
3149,87
3167,87
3185,88
3203,88
3221,89
3239,89
3239,89
3257,90
3275,90
3293,91
3311,91
3329,92
3347,92
3365,93
3383,93
3401,94
3419,94
3419,94
3437,95
3455,95
3473,96
3491,96
3509,97
3527,97
3545,98
3563,98
3581,99
3599,99
3599,99
3617,100
3635,100
3653,101
3671,101
3689,102
3707,102
3725,103
3743,103
3761,104
3779,104
3779,104
3797,105
3815,105
3833,106
3851,106
3869,107
3887,107
3905,108
3923,108
3941,109
3959,109
3959,109
3977,110
3995,110
4013,111
4031,111
4049,112
4067,112
4085,113
4103,113
4121,114
4139,114
4139,114
4157,115
4175,115
4193,116
4211,116
4229,117
4247,117
4265,118
4283,118
4301,119
4319,119
4319,119
4337,120
4355,120
4373,121
4391,121
4409,122
4427,122
4445,123
4463,123
4481,124
4499,124
4499,124
4517,125
4535,125
4553,126
4571,126
4589,127
4607,127
4625,128
4643,128
4661,129
4679,129
4679,129
4697,130
4715,130
4733,131
4751,131
4769,132
4787,132
4805,133
4823,133
4841,134
4859,134
4859,134
4877,135
4895,135
4913,136
4931,136
4949,137
4967,137
4985,138
5003,138
5021,139
5039,139
5039,139
5057,140
5075,140
5093,141
5111,141
5129,142
5147,142
5165,143
5183,143
5201,144
5219,144
5219,144
5237,145
5255,145
5273,146
5291,146
5309,147
5327,147
5345,148
5363,148
5381,149
5399,149
5399,149
5417,150
5435,150
5453,151
5471,151
5489,152
5507,152
5525,153
5543,153
5561,154
5579,154
5579,154
5597,155
5615,155
5633,156
5651,156
5669,157
5687,157
5705,158
5723,158
5741,159
5759,159
5759,159
5777,160
5795,160
5813,161
5831,161
5849,162
5867,162
5885,163
5903,163
5921,164
5939,164
5939,164
5957,165
5975,165
5993,166
6011,166
6029,167
6047,167
6065,168
6083,168
6101,169
6119,169
6119,169
6137,170
6155,170
6173,171
6191,171
6209,172
6227,172
6245,173
6263,173
6281,174
6299,174
6299,174
6317,175
6335,175
6353,176
6371,176
6389,177
6407,177
6425,178
6443,178
6461,179
6479,179
6479,179
6497,180
6515,180
6533,181
6551,181
6569,182
6587,182
6605,183
6623,183
6641,184
6659,184
6659,184
6677,185
6695,185
6713,186
6731,186
6749,187
6767,187
6785,188
6803,188
6821,189
6839,189
6839,189
6857,190
6875,190
6893,191
6911,191
6929,192
6947,192
6965,193
6983,193
7001,194
7019,194
7019,194
7037,195
7055,195
7073,196
7091,196
7109,197
7127,197
7145,198
7163,198
7181,199
7199,199
7199,199
