step,kNN_accuracy
179,43.97452163696289
359,50.828025817871094
539,53.171974182128906
719,55.59235763549805
899,58.624202728271484
1079,60.30573272705078
1259,63.286624908447266
1439,66.77706909179688
1619,67.38853454589844
1799,67.13375854492188
1979,71.10828399658203
2159,70.95541381835938
2339,69.42675018310547
2519,72.33120727539062
2699,74.03822326660156
2879,74.80255126953125
3059,75.26114654541016
3239,76.50955200195312
3419,76.6369400024414
3599,76.0764389038086
3779,77.98725891113281
3959,77.9363021850586
4139,77.7579574584961
4319,79.5414047241211
4499,79.05732727050781
4679,79.15923309326172
4859,80.07643127441406
5039,80.33121490478516
5219,81.3503189086914
5399,81.19744873046875
5579,81.40127563476562
5759,82.14012908935547
5939,83.1847152709961
6119,83.28662872314453
6299,83.4649658203125
6479,83.31210327148438
6659,83.54139709472656
6839,83.69426727294922
7019,83.43949127197266
7199,83.41400909423828
