step,Cor_feature_ij_01
17,0.57391756772995
35,0.6086119413375854
53,0.605868935585022
71,0.6350535154342651
89,0.6469488143920898
107,0.6387336850166321
125,0.642486572265625
143,0.6506688594818115
161,0.6517740488052368
179,0.6915459632873535
197,0.6586982011795044
215,0.6798703074455261
233,0.6732403039932251
251,0.703987717628479
269,0.6876171827316284
287,0.7102320194244385
305,0.7253729104995728
323,0.6834995746612549
341,0.7168012857437134
359,0.7213057279586792
377,0.7119400501251221
395,0.7203842401504517
413,0.7216817140579224
431,0.7387511134147644
449,0.7094137668609619
467,0.7142960429191589
485,0.7377585768699646
503,0.757075309753418
521,0.7293248772621155
539,0.7624495625495911
557,0.7514822483062744
575,0.770634651184082
593,0.7512087821960449
611,0.7366203665733337
629,0.7565302848815918
647,0.7650899291038513
665,0.7477832436561584
683,0.7759006023406982
701,0.7698394060134888
719,0.7476305961608887
737,0.7463623285293579
755,0.7455440163612366
773,0.7403050661087036
791,0.7325006723403931
809,0.7540580034255981
827,0.7520251870155334
845,0.7537286281585693
863,0.7677918672561646
881,0.7650949358940125
899,0.7410160303115845
917,0.762444019317627
935,0.7309053540229797
953,0.7675802111625671
971,0.7542338371276855
989,0.791901171207428
1007,0.7387449741363525
1025,0.756311297416687
1043,0.7416186928749084
1061,0.7502456307411194
1079,0.7550009489059448
1097,0.7826791405677795
1115,0.7542263865470886
1133,0.7762535810470581
1151,0.7713538408279419
1169,0.7735913991928101
1187,0.7710888981819153
1205,0.7408818006515503
1223,0.7571319341659546
1241,0.7870659232139587
1259,0.7598872184753418
1277,0.7617560029029846
1295,0.7674500942230225
1313,0.7809488773345947
1331,0.7793391942977905
1349,0.7763209342956543
1367,0.7808969616889954
1385,0.7589739561080933
1403,0.7948232889175415
1421,0.756450891494751
1439,0.7721774578094482
1457,0.7597126960754395
1475,0.7882645130157471
1493,0.793005108833313
1511,0.8073520660400391
1529,0.7727434039115906
1547,0.7906429767608643
1565,0.7667098045349121
1583,0.7805477976799011
1601,0.7964954376220703
1619,0.7848526239395142
1637,0.7876864671707153
1655,0.7641346454620361
1673,0.7914139032363892
1691,0.803594708442688
1709,0.7668704390525818
1727,0.7971569299697876
1745,0.8044741153717041
1763,0.7945371866226196
1781,0.7941985726356506
1799,0.7954878807067871
1817,0.8004270195960999
1835,0.8239569067955017
1853,0.7986478805541992
1871,0.799765408039093
1889,0.8002375364303589
1907,0.7726925611495972
1925,0.8098129034042358
1943,0.7779638767242432
1961,0.8031617403030396
1979,0.7828578948974609
1997,0.7861490249633789
2015,0.799912691116333
2033,0.7898311614990234
2051,0.7837015390396118
2069,0.8198033571243286
2087,0.8175960779190063
2105,0.7951953411102295
2123,0.8081455230712891
2141,0.8184771537780762
2159,0.791263222694397
2177,0.8041239976882935
2195,0.8136946558952332
2213,0.7816577553749084
2231,0.7701253294944763
2249,0.7976220846176147
2267,0.797130286693573
2285,0.785736083984375
2303,0.8045198917388916
2321,0.8071897029876709
2339,0.8328720331192017
2357,0.7898420095443726
2375,0.8229568600654602
2393,0.7931729555130005
2411,0.7967665791511536
2429,0.7833083271980286
2447,0.7837555408477783
2465,0.8205695748329163
2483,0.7824565172195435
2501,0.7939345240592957
2519,0.824382483959198
2537,0.8222084045410156
2555,0.8152918815612793
2573,0.8151872158050537
2591,0.7917804718017578
2609,0.8289803862571716
2627,0.805671751499176
2645,0.8267116546630859
2663,0.8208456039428711
2681,0.8055399060249329
2699,0.7941479682922363
2717,0.8157159090042114
2735,0.7984225749969482
2753,0.8124532103538513
2771,0.8294821977615356
2789,0.8234620094299316
2807,0.8095016479492188
2825,0.8149174451828003
2843,0.8056976199150085
2861,0.7805672883987427
2879,0.7938377857208252
2897,0.8285881280899048
2915,0.8159401416778564
2933,0.8162826299667358
2951,0.8084250688552856
2969,0.8364195823669434
2987,0.8288921117782593
3005,0.8109332323074341
3023,0.8270769119262695
3041,0.8066794872283936
3059,0.7999638319015503
3077,0.7914047241210938
3095,0.8211636543273926
3113,0.8168849945068359
3131,0.8058712482452393
3149,0.8236879706382751
3167,0.8013099431991577
3185,0.8369177579879761
3203,0.8262729644775391
3221,0.8292993903160095
3239,0.8455071449279785
3257,0.8356056213378906
3275,0.8235065937042236
3293,0.8073958158493042
3311,0.8182352781295776
3329,0.833245038986206
3347,0.8357787132263184
3365,0.8228464722633362
3383,0.8310162425041199
3401,0.8396152257919312
3419,0.8248706459999084
3437,0.8073024749755859
3455,0.8302997350692749
3473,0.818509042263031
3491,0.825412392616272
3509,0.8371860384941101
3527,0.8405189514160156
3545,0.79453444480896
3563,0.810401201248169
3581,0.8471831679344177
3599,0.8368525505065918
3617,0.84413743019104
3635,0.8229836821556091
3653,0.8183696866035461
3671,0.8211123943328857
3689,0.8456745147705078
3707,0.8432755470275879
3725,0.814977765083313
3743,0.8259623050689697
3761,0.8291061520576477
3779,0.847483217716217
3797,0.8471249341964722
3815,0.8321720361709595
3833,0.8269004821777344
3851,0.8514548540115356
3869,0.8285987377166748
3887,0.835991382598877
3905,0.8290127515792847
3923,0.8375483155250549
3941,0.8275012969970703
3959,0.8491981029510498
3977,0.8319690227508545
3995,0.8358227014541626
4013,0.832344651222229
4031,0.8364397287368774
4049,0.8283659219741821
4067,0.8433883190155029
4085,0.8199559450149536
4103,0.855546236038208
4121,0.848969578742981
4139,0.8228225111961365
4157,0.8382899761199951
4175,0.842339277267456
4193,0.8403493165969849
4211,0.8321661949157715
4229,0.8343508243560791
4247,0.8530350923538208
4265,0.8477330207824707
4283,0.8453523516654968
4301,0.8577513694763184
4319,0.8355610370635986
4337,0.8395200967788696
4355,0.850630521774292
4373,0.8411481976509094
4391,0.8471103310585022
4409,0.841569185256958
4427,0.8727335929870605
4445,0.8495939373970032
4463,0.8571280241012573
4481,0.8511878252029419
4499,0.841020941734314
4517,0.864531934261322
4535,0.8635993003845215
4553,0.8332668542861938
4571,0.828669548034668
4589,0.8188315629959106
4607,0.8415217399597168
4625,0.8569678068161011
4643,0.8346700072288513
4661,0.8689855933189392
4679,0.8377363085746765
4697,0.8685847520828247
4715,0.8443855047225952
4733,0.8538299798965454
4751,0.8589364290237427
4769,0.8327112197875977
4787,0.8670600652694702
4805,0.864241361618042
4823,0.8643739223480225
4841,0.8519049882888794
4859,0.8632984161376953
4877,0.8705533742904663
4895,0.8651649951934814
4913,0.8515292406082153
4931,0.8557161688804626
4949,0.8650727272033691
4967,0.8527660369873047
4985,0.8697860240936279
5003,0.8533366918563843
5021,0.8625444173812866
5039,0.8535915613174438
5057,0.8751757144927979
5075,0.8384412527084351
5093,0.8640756607055664
5111,0.8685226440429688
5129,0.8618351221084595
5147,0.85507732629776
5165,0.8631144762039185
5183,0.8752548694610596
5201,0.875543475151062
5219,0.8399257659912109
5237,0.8632522821426392
5255,0.877831220626831
5273,0.8658921122550964
5291,0.871258020401001
5309,0.8498354554176331
5327,0.8572332859039307
5345,0.8722494840621948
5363,0.8650960922241211
5381,0.868725061416626
5399,0.8701128959655762
5417,0.8574986457824707
5435,0.880082905292511
5453,0.8721818923950195
5471,0.8753914833068848
5489,0.8718893527984619
5507,0.8641563653945923
5525,0.8666954040527344
5543,0.8703756332397461
5561,0.8730896711349487
5579,0.8759533762931824
5597,0.8844287395477295
5615,0.8699504137039185
5633,0.8868958950042725
5651,0.888142466545105
5669,0.886337399482727
5687,0.8682029843330383
5705,0.8754473924636841
5723,0.8814858794212341
5741,0.8856622576713562
5759,0.8642525672912598
5777,0.8694902658462524
5795,0.8834922313690186
5813,0.8817710876464844
5831,0.8863961100578308
5849,0.8818219900131226
5867,0.873485267162323
5885,0.8894777297973633
5903,0.885525107383728
5921,0.8968582153320312
5939,0.871782660484314
5957,0.865475058555603
5975,0.8711442947387695
5993,0.8921442031860352
6011,0.8686910271644592
6029,0.8686791658401489
6047,0.8635998964309692
6065,0.8709441423416138
6083,0.8960967659950256
6101,0.8828845620155334
6119,0.8883413076400757
6137,0.883902907371521
6155,0.8935668468475342
6173,0.8654202818870544
6191,0.8854316473007202
6209,0.8769282102584839
6227,0.8822360634803772
6245,0.874198317527771
6263,0.8893294334411621
6281,0.8890279531478882
6299,0.8886090517044067
6317,0.8899759650230408
6335,0.8864399194717407
