step,kNN_accuracy
1949,29.017099380493164
3899,34.17658233642578
5849,42.665733337402344
7799,47.94520568847656
9749,51.35486602783203
11699,54.77452087402344
13649,55.98440170288086
15599,58.09419250488281
17549,58.11418914794922
19499,58.48414993286133
