step,time_log
49,0.018000125885009766
99,0.018506526947021484
149,0.01750659942626953
199,0.020001888275146484
249,0.01600027084350586
299,0.03150820732116699
349,0.021001577377319336
399,0.01600050926208496
449,0.020999670028686523
499,0.018999814987182617
549,0.01999950408935547
599,0.01900005340576172
649,0.015000343322753906
699,0.016999483108520508
749,0.01699995994567871
799,0.017000675201416016
849,0.027024269104003906
899,0.015999794006347656
949,0.013504505157470703
999,0.01900196075439453
1049,0.018000125885009766
1099,0.014999628067016602
1149,0.017999649047851562
1199,0.017000436782836914
1249,0.018999814987182617
1299,0.018000125885009766
1349,0.016999483108520508
1399,0.018002033233642578
1449,0.020509004592895508
1499,0.016000032424926758
1549,0.015000343322753906
1599,0.015000343322753906
1649,0.015999794006347656
1699,0.016507863998413086
1749,0.014001607894897461
1799,0.015999555587768555
1849,0.017002105712890625
1899,0.017999649047851562
1949,0.01399993896484375
1999,0.023999691009521484
2049,0.01650714874267578
2099,0.018507719039916992
2149,0.017506837844848633
2199,0.018000125885009766
2249,0.018000364303588867
2299,0.017999649047851562
2349,0.014999866485595703
2399,0.023000478744506836
2449,0.018001794815063477
2499,0.016000032424926758
2549,0.026000261306762695
2599,0.019002437591552734
2649,0.01600050926208496
2699,0.020000457763671875
2749,0.015000104904174805
2799,0.015000343322753906
2849,0.015000104904174805
2899,0.01699995994567871
2949,0.020999908447265625
2999,0.02000260353088379
3049,0.014002561569213867
3099,0.01750946044921875
3149,0.017000198364257812
3199,0.016000032424926758
3249,0.015999794006347656
3299,0.014000177383422852
3349,0.016999483108520508
3399,0.02900218963623047
3449,0.017000198364257812
3499,0.01300048828125
3549,0.014999866485595703
3599,0.01409149169921875
3649,0.017999887466430664
3699,0.016000032424926758
3749,0.019000768661499023
3799,0.01600193977355957
3849,0.017000436782836914
3899,0.018000364303588867
3949,0.01750802993774414
3999,0.016000032424926758
4049,0.01999974250793457
4099,0.01650547981262207
4149,0.017001867294311523
4199,0.01699995994567871
4249,0.01850748062133789
4299,0.01699995994567871
4349,0.01900005340576172
4399,0.017508506774902344
4449,0.015000343322753906
4499,0.01599884033203125
4549,0.019999980926513672
4599,0.017000436782836914
4649,0.01699972152709961
4699,0.014508724212646484
4749,0.018000125885009766
4799,0.01799917221069336
4849,0.01699972152709961
4899,0.01999974250793457
4949,0.01950693130493164
4999,0.01900005340576172
5049,0.01900005340576172
5099,0.019507169723510742
5149,0.016507625579833984
5199,0.020000219345092773
5249,0.020000457763671875
5299,0.01900005340576172
5349,0.017000198364257812
5399,0.0185091495513916
5449,0.015002012252807617
5499,0.01699972152709961
5549,0.014999866485595703
5599,0.014000177383422852
5649,0.017000675201416016
5699,0.019002437591552734
5749,0.01600027084350586
5799,0.01599907875061035
5849,0.01300191879272461
5899,0.023506879806518555
5949,0.015506744384765625
5999,0.01600027084350586
6049,0.016000032424926758
6099,0.018999814987182617
6149,0.016015291213989258
6199,0.020033836364746094
6249,0.015001535415649414
6299,0.01699995994567871
6349,0.014999866485595703
6399,0.01900005340576172
6449,0.014999866485595703
6499,0.01950979232788086
6549,0.01900029182434082
6599,0.018000364303588867
6649,0.05350899696350098
6699,0.01750636100769043
6749,0.016506195068359375
6799,0.01900196075439453
6849,0.016001462936401367
6899,0.015000343322753906
6949,0.018000125885009766
6999,0.01800227165222168
7049,0.013506174087524414
