step,kNN_accuracy
179,21.707006454467773
359,21.375795364379883
539,21.171974182128906
719,19.15923500061035
899,19.745223999023438
1079,19.05732536315918
1259,18.853504180908203
1439,18.980892181396484
1619,19.8216552734375
1799,17.732484817504883
1979,18.343948364257812
2159,19.05732536315918
2339,20.458599090576172
2519,23.464969635009766
2699,25.197452545166016
2879,28.101911544799805
3059,31.49044418334961
3239,34.24203872680664
3419,36.28025436401367
3599,38.52229309082031
3779,38.929935455322266
3959,40.45859909057617
4139,40.891719818115234
4319,42.16560363769531
4499,42.751590728759766
4679,43.92356491088867
4859,44.84076690673828
5039,45.3248405456543
5219,45.73248291015625
5399,46.36942672729492
5579,47.03184509277344
5759,47.38853454589844
5939,48.15286636352539
6119,48.356689453125
6299,48.840763092041016
6479,48.840763092041016
6659,49.24840545654297
6839,48.484073638916016
7019,49.1464958190918
7199,49.350318908691406
