step,std_feature
17,7959.7041015625
35,11425.580078125
53,11212.2763671875
71,10779.115234375
89,10558.2998046875
107,10262.484375
125,10040.8427734375
143,9334.4326171875
161,9031.2060546875
179,8914.7939453125
197,8928.03515625
215,8777.6796875
233,8749.72265625
251,8539.2890625
269,8326.3056640625
287,8297.44140625
305,8025.3916015625
323,7925.2080078125
341,7808.85791015625
359,7778.0546875
377,7464.390625
395,6918.310546875
413,6374.1826171875
431,6115.7109375
449,6127.3310546875
467,5953.57421875
485,5827.484375
503,5857.015625
521,5781.11669921875
539,5668.3173828125
557,5582.0732421875
575,5551.4345703125
593,5321.96875
611,5192.48583984375
629,5034.7705078125
647,4922.96533203125
665,4747.8349609375
683,4578.62109375
701,4330.7177734375
719,3993.55712890625
737,3652.285400390625
755,3350.8251953125
773,3042.364013671875
791,2851.13232421875
809,2691.7509765625
827,2639.881591796875
845,2591.80126953125
863,2517.160888671875
881,2458.067138671875
899,2409.51171875
917,2341.9873046875
935,2302.43798828125
953,2252.843017578125
971,2203.74365234375
989,2146.952392578125
1007,2085.89453125
1025,2032.702392578125
1043,1979.002685546875
1061,1963.48681640625
1079,1887.2537841796875
1097,1841.41748046875
1115,1752.185791015625
1133,1653.576416015625
1151,1561.2740478515625
1169,1485.896484375
1187,1424.6912841796875
1205,1364.37060546875
1223,1343.701904296875
1241,1301.2945556640625
1259,1276.751220703125
1277,1262.669189453125
1295,1241.02001953125
1313,1214.090087890625
1331,1192.5606689453125
1349,1173.140869140625
1367,1128.969970703125
1385,1113.2152099609375
1403,1084.593017578125
1421,1036.0389404296875
1439,1000.3726196289062
1457,966.6297607421875
1475,928.3893432617188
1493,887.8890380859375
1511,863.7792358398438
1529,843.614990234375
1547,815.8161010742188
1565,804.1092529296875
1583,772.86474609375
1601,756.5435791015625
1619,739.490966796875
1637,720.5699462890625
1655,698.1812744140625
1673,676.1517333984375
1691,655.8309326171875
1709,631.4069213867188
1727,619.2376708984375
1745,592.2125854492188
1763,585.931884765625
1781,559.8536987304688
1799,554.2203369140625
1817,528.4873046875
1835,508.5633850097656
1853,495.50299072265625
1871,479.9683837890625
1889,460.42156982421875
1907,447.0421142578125
1925,426.44769287109375
1943,415.94512939453125
1961,407.5340576171875
1979,393.5281982421875
1997,387.71661376953125
2015,379.2171325683594
2033,372.5534362792969
2051,364.8700866699219
2069,349.79962158203125
2087,342.16790771484375
2105,334.0091552734375
2123,331.3094787597656
2141,323.330078125
2159,319.10809326171875
2177,308.14373779296875
2195,299.7911682128906
2213,296.81414794921875
2231,287.5281677246094
2249,284.09771728515625
2267,277.6500244140625
2285,272.6903076171875
2303,269.6329040527344
2321,262.6702575683594
2339,255.22488403320312
2357,249.65711975097656
2375,239.91571044921875
2393,233.1398468017578
2411,224.2659454345703
2429,219.51998901367188
2447,215.88319396972656
2465,210.26919555664062
2483,206.71006774902344
2501,202.18399047851562
2519,196.78347778320312
2537,195.41049194335938
2555,191.33993530273438
2573,186.83749389648438
2591,184.83224487304688
2609,181.52737426757812
2627,173.32374572753906
2645,171.745361328125
2663,165.3716278076172
2681,161.8040008544922
2699,155.69952392578125
2717,150.9600372314453
2735,146.1925811767578
2753,144.04766845703125
2771,141.7076416015625
2789,136.17095947265625
2807,134.34164428710938
2825,131.0537109375
2843,128.5281524658203
2861,127.14418029785156
2879,125.5494384765625
2897,120.11602783203125
2915,116.8636245727539
2933,112.70112609863281
2951,110.38167572021484
2969,107.16754150390625
2987,105.07279205322266
3005,100.90218353271484
3023,99.62611389160156
3041,98.40313720703125
3059,96.12297821044922
3077,93.78387451171875
3095,91.35394287109375
3113,90.34283447265625
3131,87.42218017578125
3149,86.13182067871094
3167,83.1602783203125
3185,82.30718994140625
3203,80.52430725097656
3221,79.19049835205078
3239,77.93678283691406
3257,75.60945129394531
3275,73.89645385742188
3293,73.10296630859375
3311,71.14005279541016
3329,70.46446990966797
3347,68.20018005371094
3365,67.74127960205078
3383,67.18266296386719
3401,64.90164184570312
3419,65.0170669555664
3437,63.698028564453125
3455,62.55150604248047
3473,61.804901123046875
3491,60.485748291015625
3509,59.36968231201172
3527,58.25386428833008
3545,56.66902542114258
3563,55.224884033203125
3581,55.257301330566406
3599,54.651885986328125
3617,53.17589569091797
3635,53.091819763183594
3653,52.041221618652344
3671,51.32569122314453
3689,50.47077560424805
3707,49.64338684082031
3725,48.346458435058594
3743,48.26795196533203
3761,47.313499450683594
3779,46.52549362182617
3797,45.81494903564453
3815,45.51066207885742
3833,44.20956039428711
3851,43.505287170410156
3869,42.82178497314453
3887,42.66753387451172
3905,42.30658721923828
3923,41.38128662109375
3941,40.59403991699219
3959,39.659488677978516
3977,39.447471618652344
3995,39.50848388671875
4013,38.92628479003906
4031,38.414329528808594
4049,38.257659912109375
4067,37.34721755981445
