step,Cor_batch_ik_10_emb
49,0.532503068447113
99,0.5376408100128174
149,0.5310572981834412
199,0.5248830318450928
249,0.5315233469009399
299,0.5196437835693359
349,0.5220808982849121
399,0.5205367803573608
449,0.5146602392196655
499,0.5124591588973999
549,0.5136327743530273
599,0.5176064968109131
649,0.5135859251022339
699,0.512778639793396
749,0.5014123320579529
799,0.5147900581359863
849,0.5071320533752441
899,0.5087270736694336
949,0.5050073862075806
999,0.5112766623497009
1049,0.5080350041389465
1099,0.5092711448669434
1149,0.512458860874176
1199,0.5063298940658569
1249,0.5103980302810669
1299,0.5018601417541504
1349,0.500655472278595
1399,0.5016312003135681
1449,0.5048562288284302
1499,0.5012525320053101
1549,0.502027690410614
1599,0.5014244318008423
1649,0.5033047199249268
1699,0.4994678199291229
1749,0.5079617500305176
1799,0.5026425123214722
1849,0.4950708746910095
1899,0.5029268264770508
1949,0.5035278797149658
1999,0.5083330869674683
2049,0.4944842457771301
2099,0.5051183104515076
2149,0.49997615814208984
2199,0.49046772718429565
2249,0.4860522747039795
2299,0.4862859845161438
2349,0.4864877462387085
2399,0.4688466787338257
2449,0.47503066062927246
2499,0.469255268573761
2549,0.4671395421028137
2599,0.4606242775917053
2649,0.455044686794281
2699,0.45289236307144165
2749,0.45472484827041626
2799,0.4496603012084961
2849,0.4464840888977051
2899,0.4396006762981415
2949,0.4407415986061096
2999,0.44006556272506714
3049,0.43321409821510315
3099,0.43812960386276245
3149,0.4313881993293762
3199,0.4334028363227844
3249,0.4324890673160553
3299,0.43174755573272705
3349,0.4245012104511261
3399,0.42388924956321716
3449,0.43085604906082153
3499,0.4362930953502655
3549,0.42379194498062134
3599,0.4275071620941162
3649,0.42400988936424255
3699,0.41896700859069824
3749,0.43132972717285156
3799,0.42157888412475586
3849,0.42333176732063293
3899,0.4279836416244507
3949,0.4245532751083374
3999,0.43024277687072754
4049,0.4277355670928955
4099,0.4263179302215576
4149,0.439990758895874
4199,0.422473281621933
4249,0.4224400520324707
4299,0.4164433479309082
4349,0.423942506313324
4399,0.4241887331008911
4449,0.418149471282959
4499,0.41897398233413696
4549,0.4149248003959656
4599,0.4164370596408844
4649,0.41628265380859375
4699,0.41259336471557617
4749,0.4155767560005188
4799,0.40538668632507324
4849,0.4097254276275635
