step,std_view_emb
49,0.7471928596496582
99,0.7416810989379883
149,0.6898521780967712
199,0.6824352741241455
249,0.6586076021194458
299,0.6416339874267578
349,0.6035805940628052
399,0.6374529600143433
449,0.5645018219947815
499,0.5559358596801758
549,0.6143835186958313
599,0.5622262954711914
649,0.5320996046066284
699,0.5502325296401978
749,0.547696590423584
799,0.5790402889251709
849,0.513719916343689
899,0.4797045886516571
949,0.5120758414268494
999,0.521320641040802
1049,0.4624800682067871
1099,0.4564765393733978
1149,0.45655179023742676
1199,0.44340378046035767
1249,0.4162586033344269
1299,0.40162283182144165
1349,0.37745147943496704
1399,0.4258217513561249
1449,0.39863699674606323
1499,0.39606305956840515
1549,0.3979587256908417
1599,0.3630902171134949
1649,0.3848230838775635
1699,0.34923985600471497
1749,0.35730552673339844
1799,0.35107511281967163
1849,0.34820032119750977
1899,0.35817062854766846
1949,0.3345838189125061
1999,0.3098186254501343
2049,0.3242028057575226
2099,0.3027007579803467
2149,0.283674031496048
2199,0.26553550362586975
2249,0.2594709098339081
2299,0.28497472405433655
2349,0.27541404962539673
2399,0.25291040539741516
2449,0.25657349824905396
2499,0.2642833888530731
2549,0.23365721106529236
2599,0.23411419987678528
2649,0.24976693093776703
2699,0.23849046230316162
2749,0.20753781497478485
2799,0.20710504055023193
2849,0.20213806629180908
2899,0.19833873212337494
2949,0.19882091879844666
2999,0.19829842448234558
3049,0.209488183259964
3099,0.19138602912425995
3149,0.17860589921474457
3199,0.1854040026664734
3249,0.1767980456352234
3299,0.183790385723114
3349,0.1783386617898941
3399,0.15915480256080627
3449,0.1660008430480957
3499,0.14953303337097168
3549,0.16629990935325623
3599,0.15954825282096863
3649,0.1482413411140442
3699,0.1513504683971405
3749,0.1591966301202774
3799,0.16356013715267181
3849,0.15104471147060394
3899,0.1587221622467041
3949,0.1431412398815155
3999,0.1485539972782135
4049,0.1416325867176056
4099,0.129792720079422
4149,0.12693732976913452
4199,0.13068032264709473
4249,0.14177082479000092
4299,0.12346663326025009
4349,0.13084885478019714
4399,0.12451287358999252
4449,0.12216215580701828
4499,0.11944902688264847
4549,0.1220446452498436
4599,0.11918119341135025
4649,0.11754558980464935
4699,0.10927560925483704
4749,0.10518588125705719
4799,0.11419135332107544
4849,0.10858441889286041
4899,0.10805419087409973
4949,0.11129464209079742
4999,0.107184037566185
5049,0.10177937895059586
5099,0.09438876807689667
5149,0.099946528673172
5199,0.09228606522083282
