step,Cor_batch_ik_01_emb
49,0.22050490975379944
99,0.28627344965934753
149,0.3975716233253479
199,0.4019486904144287
249,0.4982241094112396
299,0.4815479516983032
349,0.6264212131500244
399,0.5301824808120728
449,0.5702065825462341
499,0.5903174877166748
549,0.5776272416114807
599,0.5742690563201904
649,0.5754064917564392
699,0.5893115997314453
749,0.6489955186843872
799,0.6045801639556885
849,0.6312217712402344
899,0.6541287899017334
949,0.6344575881958008
999,0.6931177377700806
1049,0.6388487815856934
1099,0.6547410488128662
1149,0.6605027318000793
1199,0.6195371150970459
1249,0.6511135101318359
1299,0.6975873708724976
1349,0.666193962097168
1399,0.6965439915657043
1449,0.7186695337295532
1499,0.6606972217559814
1549,0.7060993909835815
1599,0.6613974571228027
1649,0.6815786361694336
1699,0.713309645652771
1749,0.7011561989784241
1799,0.7125389575958252
1849,0.692872166633606
1899,0.7047057151794434
1949,0.6999244689941406
1999,0.7089511156082153
2049,0.7473284006118774
2099,0.7086228132247925
2149,0.7004920244216919
2199,0.7044132947921753
2249,0.7158559560775757
2299,0.7289304733276367
2349,0.7334476709365845
2399,0.7279330492019653
2449,0.7347439527511597
2499,0.7361665964126587
2549,0.7323950529098511
2599,0.7061140537261963
2649,0.6923558712005615
2699,0.7037418484687805
2749,0.7512731552124023
2799,0.7495145797729492
2849,0.7458645701408386
2899,0.7281507849693298
2949,0.7274713516235352
2999,0.7317227721214294
3049,0.7402126789093018
3099,0.7308686971664429
3149,0.717244565486908
3199,0.720528244972229
3249,0.7515295147895813
3299,0.7317941784858704
3349,0.7427661418914795
3399,0.7236834764480591
3449,0.7367947101593018
3499,0.7270417213439941
3549,0.725678563117981
3599,0.7222214341163635
3649,0.7311659455299377
3699,0.7406291961669922
3749,0.7245703339576721
3799,0.7420856952667236
3849,0.7261824607849121
3899,0.742722749710083
3949,0.730015754699707
3999,0.7242534160614014
4049,0.7416631579399109
4099,0.7339968681335449
4149,0.7351325154304504
4199,0.7251355648040771
4249,0.7343364357948303
4299,0.7543045878410339
4349,0.7332199811935425
4399,0.7284777760505676
4449,0.7428399324417114
4499,0.7227147817611694
4549,0.7433695793151855
4599,0.7347295880317688
4649,0.7424436807632446
4699,0.7545412182807922
4749,0.7404862642288208
4799,0.7411943674087524
4849,0.7477209568023682
4899,0.7402788400650024
4949,0.760494589805603
4999,0.7709366679191589
5049,0.7236728072166443
5099,0.752496600151062
5149,0.758098304271698
5199,0.7649716138839722
5249,0.7366204261779785
5299,0.7525709867477417
5349,0.7481669187545776
5399,0.7654374241828918
5449,0.7557436227798462
5499,0.7527869939804077
5549,0.7433732748031616
5599,0.7501222491264343
5649,0.7499720454216003
5699,0.7669742107391357
5749,0.7693934440612793
5799,0.758906364440918
5849,0.7636770009994507
5899,0.7689732313156128
5949,0.7468605041503906
5999,0.7376669645309448
6049,0.7612242698669434
6099,0.7559354901313782
6149,0.7548967599868774
6199,0.7511626482009888
6249,0.7591643333435059
6299,0.7617073059082031
6349,0.7799720764160156
6399,0.7808648347854614
6449,0.7665477395057678
6499,0.7461084723472595
6549,0.7628871202468872
6599,0.7533445358276367
6649,0.7795010805130005
6699,0.7790555953979492
6749,0.7944471836090088
6799,0.7797986268997192
6849,0.7813364863395691
6899,0.7758374214172363
6949,0.760528564453125
6999,0.7744345664978027
7049,0.7784589529037476
7099,0.7955805063247681
7149,0.7660253047943115
7199,0.7682427167892456
7249,0.7820092439651489
7299,0.7667766809463501
7349,0.7750982642173767
7399,0.7754174470901489
7449,0.7700614929199219
7499,0.7961528897285461
7549,0.7915940284729004
7599,0.7661733627319336
7649,0.7693877220153809
7699,0.78411465883255
7749,0.7672352194786072
7799,0.7686028480529785
7849,0.7662055492401123
7899,0.764625072479248
7949,0.7882013320922852
7999,0.7757086753845215
8049,0.7795041799545288
8099,0.7710291147232056
8149,0.7873281240463257
8199,0.7736973762512207
8249,0.7860845923423767
8299,0.7803916931152344
8349,0.7792889475822449
8399,0.7999939918518066
8449,0.757906436920166
8499,0.7788203954696655
8549,0.7793306708335876
8599,0.8005210161209106
8649,0.7829414010047913
8699,0.7818127274513245
8749,0.7849786877632141
8799,0.7888985276222229
8849,0.7751002311706543
8899,0.7985787987709045
8949,0.7915860414505005
8999,0.7960430383682251
9049,0.7701388597488403
9099,0.7783398628234863
9149,0.8009557127952576
9199,0.7855282425880432
9249,0.7829622030258179
9299,0.761235237121582
9349,0.7746925950050354
9399,0.7940608263015747
9449,0.7773946523666382
9499,0.7531055212020874
9549,0.8124329447746277
9599,0.7932982444763184
9649,0.7861775159835815
9699,0.8042536973953247
9749,0.796920895576477
9799,0.794012725353241
9849,0.789049506187439
9899,0.7928576469421387
9949,0.7941311597824097
9999,0.8016204237937927
10049,0.8013231754302979
10099,0.7674044370651245
10149,0.7987303137779236
10199,0.8071337938308716
10249,0.7932580709457397
10299,0.7831137180328369
10349,0.7691936492919922
10399,0.7757982015609741
10449,0.7880417108535767
10499,0.7792173624038696
10549,0.785850465297699
10599,0.7941877841949463
10649,0.7915047407150269
10699,0.7994362711906433
10749,0.7853752374649048
10799,0.8068621158599854
10849,0.7966321706771851
10899,0.7844750881195068
10949,0.8087389469146729
10999,0.7926915884017944
11049,0.7781950235366821
11099,0.7975227236747742
11149,0.7957262992858887
11199,0.8041629791259766
11249,0.7848923802375793
11299,0.8115442991256714
11349,0.8040753602981567
11399,0.8002131581306458
11449,0.7710815668106079
11499,0.7980437874794006
11549,0.8018154501914978
11599,0.8098788261413574
11649,0.8013119697570801
11699,0.7860516309738159
11749,0.7959055304527283
11799,0.7895370125770569
11849,0.7911696434020996
11899,0.8003761768341064
11949,0.7888360619544983
11999,0.8018643856048584
12049,0.7822432518005371
12099,0.8171950578689575
12149,0.7969549894332886
12199,0.7970417141914368
12249,0.795661985874176
12299,0.7936980724334717
12349,0.8126221299171448
12399,0.8228192925453186
12449,0.8037662506103516
12499,0.7894192934036255
12549,0.7968831658363342
12599,0.7893507480621338
12649,0.8050293922424316
12699,0.8043876886367798
12749,0.7865575551986694
12799,0.802021861076355
12849,0.7964403033256531
12899,0.7919392585754395
12949,0.7911319732666016
12999,0.8019152879714966
13049,0.8087146282196045
13099,0.7974081635475159
13149,0.794254720211029
13199,0.7798330783843994
13249,0.783955991268158
13299,0.7983599305152893
13349,0.7968571186065674
13399,0.7916796803474426
13449,0.7942149043083191
13499,0.7866702675819397
13549,0.7961156964302063
13599,0.8077182173728943
13649,0.7995022535324097
13699,0.797132670879364
13749,0.8097253441810608
13799,0.807121217250824
13849,0.7890713214874268
13899,0.7957804203033447
13949,0.807278037071228
13999,0.8095943927764893
14049,0.7775077819824219
14099,0.7930600643157959
14149,0.7971117496490479
14199,0.8082435131072998
14249,0.7916587591171265
14299,0.8168846368789673
14349,0.7981266379356384
14399,0.7858074903488159
14449,0.7874788045883179
14499,0.786883533000946
14549,0.7821973562240601
