step,Cor_batch_ik_01
49,0.23550650477409363
99,0.20950597524642944
149,0.25135576725006104
199,0.2736678719520569
249,0.16549786925315857
299,0.28069955110549927
349,0.27486565709114075
399,0.30390462279319763
449,0.32029813528060913
499,0.2178550362586975
549,0.23395965993404388
599,0.33736270666122437
649,0.2822933793067932
699,0.34948909282684326
749,0.317337304353714
799,0.2969862222671509
849,0.3534484803676605
899,0.4881678521633148
949,0.36931562423706055
999,0.2593744993209839
1049,0.24822202324867249
1099,0.2736624479293823
1149,0.3600246012210846
1199,0.3011920750141144
1249,0.3897733986377716
1299,0.3698883652687073
1349,0.3730123043060303
1399,0.36267513036727905
1449,0.3887312114238739
1499,0.35366255044937134
1549,0.3459833860397339
1599,0.21167761087417603
1649,0.34327030181884766
1699,0.2907339334487915
1749,0.3514244258403778
1799,0.3714461326599121
1849,0.27655816078186035
1899,0.3687259256839752
1949,0.31817278265953064
1999,0.3510425090789795
2049,0.22482359409332275
2099,0.3574702739715576
2149,0.2973857820034027
2199,0.3451034426689148
2249,0.29251348972320557
2299,0.33393195271492004
2349,0.25043922662734985
2399,0.14958947896957397
2449,0.2822033762931824
2499,0.3287228047847748
2549,0.20606288313865662
2599,0.32137566804885864
2649,0.30328768491744995
2699,0.2076582908630371
2749,0.3491211533546448
2799,0.26768988370895386
2849,0.2902162969112396
2899,0.34782546758651733
2949,0.40700700879096985
2999,0.2636677622795105
3049,0.27937179803848267
3099,0.2538866400718689
3149,0.26921766996383667
3199,0.1798405945301056
3249,0.3725825548171997
3299,0.31020283699035645
3349,0.16456618905067444
3399,0.3138379454612732
3449,0.29893267154693604
3499,0.4022584557533264
3549,0.32808613777160645
3599,0.2806966006755829
3649,0.33080732822418213
3699,0.4384009540081024
3749,0.27140748500823975
3799,0.39946845173835754
3849,0.2966765761375427
3899,0.35073697566986084
3949,0.15160298347473145
3999,0.2603638172149658
4049,0.35138559341430664
4099,0.3788028955459595
4149,0.18403863906860352
4199,0.2819632589817047
4249,0.2748316526412964
4299,0.3208125829696655
4349,0.3599056601524353
4399,0.27379900217056274
4449,0.45806705951690674
4499,0.45692333579063416
4549,0.32796943187713623
4599,0.40680140256881714
4649,0.3600783944129944
4699,0.2725636959075928
4749,0.33757996559143066
4799,0.4565153419971466
4849,0.3449643850326538
4899,0.22488251328468323
4949,0.3145020604133606
4999,0.34540602564811707
5049,0.22058983147144318
5099,0.23330941796302795
5149,0.3541414141654968
5199,0.2107880413532257
5249,0.33420199155807495
5299,0.32907533645629883
5349,0.35365650057792664
5399,0.4900418519973755
5449,0.6117455959320068
5499,1.0999958515167236
5549,1.9269651174545288
5599,3.1778855323791504
5649,12.48975944519043
5699,14.120153427124023
5749,inf
5799,inf
5849,inf
5899,inf
5949,inf
5999,inf
6049,inf
6099,inf
6149,inf
6199,inf
6249,inf
6299,inf
6349,inf
6399,inf
6449,inf
6499,inf
6549,inf
6599,inf
6649,inf
6699,inf
6749,inf
6799,inf
6849,inf
6899,inf
6949,inf
6999,inf
7049,inf
7099,inf
7149,inf
7199,inf
7249,inf
7299,inf
7349,inf
7399,inf
7449,inf
7499,inf
7549,inf
7599,inf
7649,inf
7699,inf
7749,inf
7799,inf
7849,inf
7899,inf
7949,inf
7999,inf
8049,inf
8099,inf
8149,inf
8199,inf
8249,inf
8299,inf
8349,inf
8399,inf
8449,inf
8499,inf
8549,inf
8599,inf
8649,inf
8699,inf
8749,inf
8799,inf
8849,inf
8899,inf
8949,inf
8999,inf
9049,inf
9099,inf
9149,inf
9199,inf
9249,inf
9299,inf
9349,inf
9399,inf
9449,inf
9499,inf
9549,inf
9599,inf
9649,inf
9699,inf
9749,inf
9799,inf
9849,inf
9899,inf
9949,inf
9999,inf
10049,inf
10099,inf
10149,inf
10199,inf
10249,inf
10299,inf
10349,inf
10399,inf
10449,inf
10499,inf
10549,inf
10599,inf
10649,inf
10699,inf
10749,inf
10799,inf
10849,inf
10899,inf
10949,inf
10999,inf
11049,inf
11099,inf
11149,inf
11199,inf
11249,inf
11299,inf
11349,inf
11399,inf
11449,inf
11499,inf
11549,inf
11599,inf
11649,inf
11699,inf
11749,inf
11799,inf
11849,inf
11899,inf
11949,inf
11999,inf
12049,inf
12099,inf
12149,inf
12199,inf
12249,inf
12299,inf
12349,inf
12399,inf
12449,inf
12499,inf
12549,inf
12599,inf
12649,inf
12699,inf
12749,inf
12799,inf
12849,inf
12899,inf
12949,inf
12999,inf
13049,inf
13099,inf
13149,inf
13199,inf
13249,inf
13299,inf
13349,inf
13399,inf
13449,inf
13499,inf
13549,inf
13599,inf
13649,inf
13699,inf
13749,inf
13799,inf
13849,inf
13899,inf
13949,inf
13999,inf
14049,inf
14099,inf
14149,inf
14199,inf
14249,inf
14299,inf
14349,inf
14399,inf
14449,inf
14499,inf
14549,inf
14599,inf
14649,inf
14699,inf
14749,inf
14799,inf
14849,inf
14899,inf
14949,inf
14999,inf
15049,inf
15099,inf
15149,inf
15199,inf
15249,inf
15299,inf
15349,inf
15399,inf
15449,inf
15499,inf
15549,inf
15599,inf
15649,inf
15699,inf
15749,inf
15799,inf
15849,inf
15899,inf
15949,inf
15999,inf
16049,inf
16099,inf
16149,inf
16199,inf
16249,inf
16299,inf
16349,inf
16399,inf
16449,inf
16499,inf
16549,inf
16599,inf
16649,inf
16699,inf
16749,inf
16799,inf
16849,inf
16899,inf
16949,inf
16999,inf
17049,inf
17099,inf
17149,inf
17199,inf
17249,inf
17299,inf
17349,inf
17399,inf
17449,inf
17499,inf
17549,inf
17599,inf
17649,inf
17699,inf
17749,inf
17799,inf
17849,inf
17899,inf
17949,inf
17999,inf
18049,inf
18099,inf
18149,inf
18199,inf
18249,inf
18299,inf
18349,inf
18399,inf
18449,inf
18499,inf
18549,inf
18599,inf
18649,inf
18699,inf
18749,inf
18799,inf
18849,inf
18899,inf
18949,inf
18999,inf
19049,inf
19099,inf
19149,inf
19199,inf
19249,inf
19299,inf
19349,inf
19399,inf
19449,inf
19499,inf
