step,Cor_view_jk_01
49,0.6550975441932678
99,0.7533648610115051
149,0.5103456974029541
199,0.4423218071460724
249,0.5114187598228455
299,0.604363203048706
349,0.6917203068733215
399,0.6869746446609497
449,0.34767112135887146
499,0.19254803657531738
549,0.3421398997306824
599,0.34140241146087646
649,0.48858362436294556
699,0.5479179620742798
749,0.1865498423576355
799,0.42319416999816895
849,0.5751398205757141
899,0.40836474299430847
949,0.8328890800476074
999,0.4125092029571533
1049,0.8205428719520569
1099,0.3693307936191559
1149,0.359017550945282
1199,0.4630312919616699
1249,0.555254340171814
1299,0.3898136019706726
1349,0.23999106884002686
1399,0.6446340680122375
1449,0.6397192478179932
1499,0.807105302810669
1549,0.5756829380989075
1599,0.8989791870117188
1649,0.48949456214904785
1699,0.5640379786491394
1749,0.5428107976913452
1799,0.5872914791107178
1849,0.4441373944282532
1899,0.40226060152053833
1949,0.4507802128791809
1999,0.4002891778945923
2049,0.6529802083969116
2099,0.35849615931510925
2149,0.2849751114845276
2199,0.5658963322639465
2249,0.43320101499557495
2299,0.45148298144340515
2349,0.6112858653068542
2399,0.7510671019554138
2449,0.606910765171051
2499,0.5246590375900269
2549,0.28355327248573303
2599,0.6306120753288269
2649,0.32904332876205444
2699,0.4904296100139618
2749,0.6088463068008423
2799,0.5660543441772461
2849,0.5055826306343079
2899,0.37154218554496765
2949,0.38119491934776306
2999,0.6078895330429077
3049,0.40071243047714233
3099,0.5736190676689148
3149,0.6103997230529785
3199,0.4975888431072235
3249,0.43482184410095215
3299,0.49927908182144165
3349,0.6201254725456238
3399,0.44944432377815247
3449,0.4420804977416992
3499,0.40822550654411316
3549,0.5917110443115234
3599,0.5153012871742249
3649,0.4835098385810852
3699,0.5534687638282776
3749,0.586266815662384
3799,0.4687483310699463
3849,0.5676918029785156
3899,0.49670013785362244
3949,0.48380470275878906
3999,0.4603903293609619
4049,0.5816434621810913
4099,0.5036873817443848
4149,0.5281585454940796
4199,0.5828362703323364
4249,0.5105577111244202
4299,0.4926978349685669
4349,0.4903111457824707
4399,0.45384693145751953
4449,0.5470795035362244
4499,0.5346404910087585
4549,0.5266085267066956
4599,0.4974380433559418
4649,0.5030587911605835
4699,0.5082155466079712
4749,0.5108307003974915
4799,0.4575294256210327
4849,0.4839961528778076
4899,0.49798357486724854
4949,0.520972490310669
4999,0.4957082271575928
5049,0.48342469334602356
5099,0.5058225989341736
5149,0.5255683660507202
5199,0.4850884675979614
5249,0.4954577684402466
5299,0.5388898849487305
5349,0.4635166823863983
5399,0.4875498414039612
5449,0.5870423316955566
5499,0.4423335790634155
5549,0.5036486387252808
5599,0.4840961694717407
5649,0.4910691976547241
5699,0.5139597654342651
5749,0.5082993507385254
5799,0.5246572494506836
5849,0.48574867844581604
5899,0.507593035697937
5949,0.4560961127281189
5999,0.43281659483909607
6049,0.5015462636947632
6099,0.5163548588752747
6149,0.5287365317344666
6199,0.5066596269607544
6249,0.5195050239562988
6299,0.48185259103775024
6349,0.5077875852584839
6399,0.48959118127822876
6449,0.5036283135414124
6499,0.5199896097183228
6549,0.5255117416381836
6599,0.5037992000579834
6649,0.46729516983032227
6699,0.5057846903800964
6749,0.5234192609786987
6799,0.5196630954742432
6849,0.5162100791931152
6899,0.48868370056152344
6949,0.48233312368392944
6999,0.48201727867126465
7049,0.5286961793899536
7099,0.5109360218048096
7149,0.5115246176719666
7199,0.5222243070602417
7249,0.49928319454193115
7299,0.5181126594543457
7349,0.505124568939209
7399,0.4830307364463806
7449,0.5005713701248169
7499,0.48847973346710205
7549,0.5325995683670044
7599,0.5162325501441956
7649,0.46006590127944946
7699,0.48875880241394043
7749,0.4982903003692627
7799,0.49756014347076416
7849,0.4904584586620331
7899,0.5244114995002747
7949,0.5050843358039856
7999,0.5102407336235046
8049,0.5069740414619446
8099,0.5121067762374878
8149,0.5049038529396057
8199,0.5029928684234619
8249,0.5338809490203857
8299,0.46921056509017944
8349,0.4957153797149658
8399,0.5073447227478027
8449,0.5008036494255066
8499,0.5156524181365967
8549,0.4663850963115692
8599,0.517037034034729
8649,0.5168408155441284
8699,0.49612343311309814
8749,0.5316442251205444
8799,0.5287846922874451
8849,0.4821930527687073
8899,0.48542505502700806
8949,0.5034855604171753
8999,0.4870986342430115
9049,0.49611717462539673
9099,0.5011324286460876
9149,0.5104572772979736
9199,0.4985010027885437
9249,0.49289119243621826
9299,0.46841174364089966
9349,0.5098111033439636
9399,0.48859405517578125
9449,0.5223957896232605
9499,0.5238463878631592
9549,0.4883228838443756
9599,0.4948943555355072
9649,0.5116119980812073
9699,0.5024678111076355
9749,0.49899348616600037
