step,kNN_accuracy
179,35.159236907958984
359,37.42675018310547
539,41.29936218261719
719,44.33121109008789
899,47.108280181884766
1079,49.83439636230469
1259,52.66242218017578
1439,54.75159454345703
1619,57.452232360839844
1799,59.006370544433594
1979,62.089168548583984
2159,61.88534927368164
2339,65.63056945800781
2519,66.85350799560547
2699,69.19744873046875
2879,70.36943054199219
3059,70.16560363769531
3239,72.02547454833984
3419,73.22293090820312
3599,74.77706909179688
3779,74.87898254394531
3959,75.26114654541016
4139,76.56050872802734
4319,76.5350341796875
4499,77.60509490966797
4679,78.57324981689453
4859,78.29299926757812
5039,79.26114654541016
5219,79.8216552734375
5399,79.79618072509766
5579,80.05095672607422
5759,79.89808654785156
5939,80.40764617919922
6119,80.94267272949219
6299,80.78981018066406
6479,81.22293090820312
6659,81.09554290771484
6839,81.09554290771484
7019,81.070068359375
7199,81.070068359375
