step,kNN_accuracy
96,91.67083740234375
193,91.7008285522461
290,91.89080810546875
387,91.76082611083984
484,91.85081481933594
581,91.87081146240234
678,91.79081726074219
775,91.66083526611328
872,91.60083770751953
969,91.61083984375
1066,91.64083862304688
1163,91.61083984375
1260,91.7008285522461
1357,91.71083068847656
1454,91.7008285522461
1551,91.77082061767578
1648,91.7008285522461
1745,91.76082611083984
1842,91.7008285522461
1939,91.67083740234375
2036,91.76082611083984
2133,91.66083526611328
2230,91.71083068847656
2327,91.8108139038086
2424,91.6308364868164
2521,91.84081268310547
2618,91.87081146240234
2715,91.68083190917969
2812,91.7008285522461
2909,91.79081726074219
3006,91.74082946777344
3103,91.75082397460938
3200,91.7008285522461
3297,91.71083068847656
3394,91.6308364868164
3491,91.88081359863281
3588,91.84081268310547
3685,91.73082733154297
3782,91.7208251953125
3879,91.7008285522461
3976,91.77082061767578
4073,91.79081726074219
4170,91.75082397460938
4267,91.77082061767578
4364,91.78082275390625
4461,91.85081481933594
4558,91.75082397460938
4655,91.86080932617188
4752,91.83081817626953
4849,91.78082275390625
4946,91.94081115722656
5043,91.84081268310547
5140,91.84081268310547
5237,91.85081481933594
5334,91.87081146240234
5431,91.91081237792969
5528,91.91081237792969
5625,91.94081115722656
5722,91.90081024169922
5819,91.87081146240234
5916,91.91081237792969
6013,91.9308090209961
0,76.70233154296875
0,91.28086853027344
0,91.28086853027344
0,91.26087188720703
0,76.56234741210938
0,84.58154296875
0,91.28086853027344
0,91.28086853027344
0,92.41075897216797
0,92.37075805664062
0,91.31086730957031
0,91.30087280273438
0,91.31086730957031
0,95.50045013427734
0,95.50045013427734
0,91.28086853027344
0,94.52999877929688
0,91.2908706665039
