step,Cor_view_jk_10
1399,0.6143263578414917
49,0.5801817178726196
99,0.6448658108711243
149,0.7099789977073669
199,0.6503574252128601
249,0.6892610192298889
299,0.7311771512031555
349,0.7233471870422363
399,0.5843275785446167
449,0.5185672044754028
499,0.6437027454376221
549,0.5531390905380249
599,0.7296743988990784
649,0.765240490436554
699,0.5758246183395386
749,0.6338872909545898
799,0.6299117803573608
849,0.6521477699279785
899,0.59718257188797
949,0.5966662764549255
999,0.615055501461029
1049,0.5568450689315796
1099,0.721343994140625
1149,0.6124354600906372
1199,0.6049108505249023
1249,0.6837362051010132
1299,0.6615362167358398
1349,0.6023643016815186
1399,0.5926493406295776
1449,0.74049973487854
1499,0.5627781748771667
1549,0.6467492580413818
1599,0.6375184655189514
1649,0.5774012804031372
1699,0.7032835483551025
1749,0.5857680439949036
1799,0.6835969090461731
1849,0.6589464545249939
1899,0.6741846799850464
1949,0.7095328569412231
1999,0.6360790133476257
2049,0.5930638313293457
2099,0.6041370630264282
2149,0.5622341632843018
2199,0.6554936170578003
2249,0.6375913023948669
2299,0.7202425003051758
2349,0.556990385055542
2399,0.5918947458267212
2449,0.62554931640625
2499,0.5956724286079407
2549,0.7411225438117981
2599,0.5593681335449219
2649,0.6170002222061157
2699,0.7766960859298706
2749,0.6708223819732666
2799,0.8080281019210815
2849,0.739685595035553
2899,0.6044433116912842
2949,0.6202424764633179
2999,0.6247644424438477
3049,0.6039623022079468
3099,0.6781917810440063
3149,0.5749289989471436
3199,0.5982379913330078
3249,0.6613186001777649
3299,0.6614776849746704
3349,0.764121413230896
3399,0.6663731336593628
3449,0.6108372211456299
3499,0.6176741123199463
3549,0.7137491703033447
3599,0.6656738519668579
3649,0.6325898170471191
3699,0.5282533168792725
3749,0.6723233461380005
3799,0.7026656866073608
3849,0.5679417848587036
3899,0.5996673703193665
3949,0.6481186151504517
3999,0.6296440362930298
4049,0.6838957071304321
4099,0.8611794710159302
4149,0.6745265126228333
4199,0.7963881492614746
4249,0.7385045289993286
4299,0.5898339748382568
4349,0.7197610139846802
4399,0.5378901362419128
4449,0.7105797529220581
4499,0.6594324707984924
4549,0.7485629320144653
4599,0.7708384990692139
4649,0.7948869466781616
4699,0.6231846809387207
4749,0.6425842046737671
4799,0.5999950170516968
4849,0.6697404980659485
4899,0.7024074196815491
4949,0.7670722007751465
4999,0.586787223815918
5049,0.5739202499389648
5099,0.6096302270889282
5149,0.5248692035675049
5199,0.5560967326164246
5249,0.6704705953598022
5299,0.68668532371521
5349,0.7890938520431519
5399,0.7740963101387024
5449,0.6303707361221313
5499,0.5990607142448425
5549,0.6770727634429932
5599,0.7233777642250061
5649,0.5743186473846436
5699,0.7010037899017334
5749,0.6265825033187866
5799,0.6026241183280945
5849,0.7229965925216675
5899,0.6702805757522583
5949,0.7561725974082947
5999,0.7391765117645264
6049,0.6681869029998779
6099,0.6632609367370605
