step,train_loss
49,-0.5198002457618713
99,-0.8255932331085205
149,-0.8682435750961304
199,-0.8778702616691589
249,-0.8954194784164429
299,-0.8834326267242432
349,-0.9007662534713745
399,-0.9130299091339111
449,-0.9353282451629639
499,-0.928856372833252
549,-0.933592677116394
599,-0.930944561958313
649,-0.9285519123077393
699,-0.9359980821609497
749,-0.9354199171066284
799,-0.9463350176811218
849,-0.9499583840370178
899,-0.951214075088501
949,-0.9512932300567627
999,-0.9547960162162781
1049,-0.9543046355247498
1099,-0.9447590112686157
1149,-0.958387017250061
1199,-0.9585353136062622
1249,-0.9557887315750122
1299,-0.9508137702941895
1349,-0.9618998765945435
1399,-0.9564270973205566
1449,-0.9513605833053589
1499,-0.9523773193359375
1549,-0.9560962915420532
1599,-0.9598320722579956
1649,-0.9562392830848694
1699,-0.9606581926345825
1749,-0.9631527662277222
1799,-0.9649632573127747
1849,-0.9595750570297241
1899,-0.9658743143081665
1949,-0.9617360234260559
1999,-0.9521519541740417
2049,-0.9630889892578125
2099,-0.9637864232063293
2149,-0.9604378938674927
2199,-0.952114462852478
2249,-0.9655948877334595
2299,-0.9604076147079468
2349,-0.951244056224823
2399,-0.9597741365432739
2449,-0.9510486125946045
2499,-0.9478499889373779
2549,-0.950252890586853
2599,-0.9472531080245972
2649,-0.9399376511573792
2699,-0.9366205930709839
2749,-0.9394798874855042
2799,-0.9317408800125122
2849,-0.9328399896621704
2899,-0.9328547120094299
2949,-0.9200533032417297
2999,-0.93656325340271
3049,-0.9228837490081787
3099,-0.9204803705215454
3149,-0.9166020154953003
3199,-0.92540043592453
3249,-0.9188959002494812
3299,-0.8994216918945312
3349,-0.9064445495605469
3399,-0.9161404371261597
3449,-0.9139074087142944
3499,-0.9035815596580505
3549,-0.915888249874115
3599,-0.9128725528717041
3649,-0.9060313701629639
3699,-0.9036703109741211
3749,-0.8825859427452087
3799,-0.9013897776603699
3849,-0.9199255108833313
3899,-0.9197204113006592
3949,-0.8870906829833984
3999,-0.902866005897522
4049,-0.9290313720703125
4099,-0.947737991809845
4149,-0.9409079551696777
4199,-0.9259011149406433
4249,-0.9292645454406738
4299,-0.9163743257522583
4349,-0.8795492649078369
4399,-0.8993134498596191
4449,-0.9627127647399902
4499,-0.9201931953430176
4549,-0.9248490333557129
4599,-0.934300422668457
4649,-0.9302794337272644
4699,-0.9185659885406494
4749,-0.9404113292694092
4799,-0.9383963346481323
4849,-0.9766400456428528
4899,-0.9735935926437378
4949,-0.9628493189811707
4999,-0.9655628204345703
5049,-0.9628502130508423
5099,-0.9680421352386475
5149,-0.9697678089141846
5199,-0.9725096821784973
5249,-0.9729161262512207
5299,-0.9706846475601196
5349,-0.9681543707847595
5399,-0.9670407772064209
5449,-0.9643502235412598
5499,-0.9726724028587341
5549,-0.9698753356933594
5599,-0.9581900238990784
5649,-0.9630109071731567
5699,-0.9684195518493652
5749,-0.9612774848937988
5799,-0.9656051397323608
5849,-0.9295719861984253
5899,-0.943953275680542
5949,-0.9640501141548157
5999,-0.9614880084991455
6049,-0.9670716524124146
6099,-0.9616532325744629
6149,-0.9541729688644409
6199,-0.9649758338928223
6249,-0.9684765338897705
6299,-0.975609302520752
6349,-0.9680249691009521
6399,-0.9697439074516296
6449,-0.9733436107635498
6499,-0.9641402959823608
6549,-0.9757100343704224
6599,-0.9700011610984802
6649,-0.9667539596557617
6699,-0.9620851278305054
6749,-0.9669432044029236
6799,-0.9673497080802917
6849,-0.9613543748855591
6899,-0.9628140926361084
6949,-0.9696412086486816
6999,-0.9601365923881531
7049,-0.9683595299720764
7099,-0.9691101312637329
7149,-0.9635239839553833
7199,-0.9650077819824219
7249,-0.9710783958435059
7299,-0.9718696475028992
7349,-0.9661465287208557
7399,-0.9687542915344238
7449,-0.9654691219329834
7499,-0.9653984904289246
7549,-0.9634873867034912
7599,-0.9709806442260742
7649,-0.9585215449333191
7699,-0.9617335200309753
7749,-0.9633121490478516
7799,-0.9655296206474304
7849,-0.9734792709350586
7899,-0.9631824493408203
7949,-0.9639825820922852
7999,-0.9703352451324463
8049,-0.9697893857955933
8099,-0.9626963138580322
8149,-0.9619544744491577
8199,-0.9735618233680725
8249,-0.9606107473373413
8299,-0.9647339582443237
8349,-0.9750933647155762
8399,-0.976343035697937
8449,-0.970836877822876
8499,-0.9773660898208618
8549,-0.9704480767250061
8599,-0.9746699333190918
8649,-0.9732723832130432
8699,-0.9777129292488098
8749,-0.9738933444023132
8799,-0.9728260040283203
8849,-0.9734277725219727
8899,-0.9751865863800049
8949,-0.9712177515029907
8999,-0.9764077067375183
9049,-0.9779566526412964
9099,-0.9684778451919556
9149,-0.9667714834213257
9199,-0.9684186577796936
9249,-0.9656586647033691
9299,-0.9714334011077881
9349,-0.97138512134552
9399,-0.9759271144866943
9449,-0.9661095142364502
9499,-0.9707410335540771
9549,-0.9750685095787048
9599,-0.9652202129364014
9649,-0.972180962562561
9699,-0.9765467643737793
9749,-0.977070689201355
9799,-0.9728231430053711
9849,-0.9770440459251404
9899,-0.9799729585647583
9949,-0.9742650985717773
9999,-0.9825664758682251
10049,-0.9665724039077759
10099,-0.9800750017166138
10149,-0.983315110206604
10199,-0.9746829271316528
10249,-0.9740070104598999
10299,-0.9775804281234741
10349,-0.9798070788383484
10399,-0.9768834114074707
10449,-0.9758493304252625
10499,-0.9763102531433105
10549,-0.9802847504615784
10599,-0.9790216088294983
10649,-0.9650294780731201
10699,-0.9728206992149353
10749,-0.9835038185119629
10799,-0.9844745397567749
10849,-0.9739614129066467
10899,-0.9818945527076721
10949,-0.9798139333724976
10999,-0.9774830341339111
11049,-0.9814544916152954
11099,-0.9808880686759949
11149,-0.9750741720199585
11199,-0.9769005179405212
11249,-0.9839231967926025
11299,-0.9845488667488098
11349,-0.9809397459030151
11399,-0.9832410216331482
11449,-0.976850152015686
11499,-0.9777823686599731
11549,-0.9822195768356323
11599,-0.9859486222267151
11649,-0.9856956005096436
11699,-0.981298565864563
11749,-0.9845452308654785
11799,-0.9847466945648193
11849,-0.9767777919769287
11899,-0.9788753390312195
11949,-0.976340651512146
11999,-0.976122260093689
12049,-0.9744669795036316
12099,-0.9822161197662354
12149,-0.9793843030929565
12199,-0.9725465774536133
12249,-0.9815665483474731
12299,-0.9763268232345581
12349,-0.9807760715484619
12399,-0.9740786552429199
12449,-0.9770886898040771
12499,-0.9793272018432617
12549,-0.977409839630127
12599,-0.984048068523407
12649,-0.9806258082389832
12699,-0.9858716130256653
12749,-0.9795238375663757
12799,-0.982164740562439
12849,-0.975510835647583
12899,-0.9775487184524536
12949,-0.977151095867157
12999,-0.9819165468215942
13049,-0.9833089113235474
13099,-0.9785064458847046
13149,-0.9810596108436584
13199,-0.9718382358551025
13249,-0.9799811840057373
13299,-0.9813556671142578
13349,-0.9781566858291626
13399,-0.9841629862785339
13449,-0.9853503704071045
13499,-0.9774165153503418
13549,-0.9785157442092896
13599,-0.9783625602722168
13649,-0.9728421568870544
13699,-0.9863705635070801
13749,-0.9812648296356201
13799,-0.9820804595947266
13849,-0.9805072546005249
13899,-0.9832432270050049
13949,-0.9815595149993896
13999,-0.9839391708374023
14049,-0.9837985038757324
14099,-0.9853975772857666
14149,-0.9853050708770752
14199,-0.9846547245979309
14249,-0.984852135181427
14299,-0.9859980344772339
14349,-0.9847217202186584
14399,-0.9821798801422119
14449,-0.9847331643104553
14499,-0.983123779296875
14549,-0.986557126045227
14599,-0.9830799698829651
14649,-0.9793487191200256
14699,-0.9868627786636353
14749,-0.9874026775360107
14799,-0.9843957424163818
14849,-0.9897265434265137
14899,-0.987545371055603
14949,-0.9847936630249023
14999,-0.9860011339187622
