step,std_batch_emb
49,1.091884970664978
99,1.0740749835968018
149,1.043320655822754
199,1.020620584487915
249,1.0016405582427979
299,0.9800508618354797
349,0.9581427574157715
399,0.9354684352874756
449,0.9192066192626953
499,0.8965399265289307
549,0.8766102194786072
599,0.8513892292976379
649,0.8321792483329773
699,0.8112517595291138
749,0.7908565402030945
799,0.7713675498962402
849,0.7549175024032593
899,0.7357402443885803
949,0.7167262434959412
999,0.6973704695701599
1049,0.6817764639854431
1099,0.6654973030090332
1149,0.6457597017288208
1199,0.6300899386405945
1249,0.6113219261169434
1299,0.5962759256362915
1349,0.580047607421875
1399,0.5640065670013428
1449,0.5515415072441101
1499,0.5369554162025452
1549,0.5246456265449524
1599,0.5099086165428162
1649,0.4959859251976013
1699,0.4838331341743469
1749,0.4707520306110382
1799,0.4604295790195465
1849,0.44786667823791504
1899,0.43575000762939453
1949,0.4248269498348236
1999,0.41400712728500366
2049,0.4036876857280731
2099,0.39085644483566284
2149,0.38245081901550293
2199,0.37337279319763184
2249,0.36404848098754883
2299,0.3555697798728943
2349,0.34581390023231506
2399,0.33821600675582886
2449,0.3283608853816986
2499,0.3191419839859009
2549,0.31225013732910156
2599,0.30455729365348816
2649,0.2973426878452301
2699,0.2889854907989502
2749,0.28188472986221313
2799,0.2761117219924927
2849,0.2676514983177185
2899,0.2625640630722046
2949,0.2561894357204437
2999,0.2490507960319519
3049,0.2429402768611908
3099,0.2374098300933838
3149,0.2309873253107071
3199,0.2260850965976715
3249,0.2208424210548401
3299,0.21521270275115967
3349,0.21092727780342102
3399,0.20657745003700256
3449,0.20111417770385742
3499,0.1964421272277832
3549,0.19222776591777802
3599,0.18752531707286835
3649,0.18413452804088593
3699,0.17983946204185486
3749,0.17637403309345245
3799,0.17263005673885345
3849,0.168924480676651
3899,0.16508492827415466
3949,0.16200608015060425
3999,0.15782848000526428
4049,0.15541668236255646
4099,0.1519540697336197
4149,0.14867867529392242
4199,0.1459217369556427
4249,0.14265379309654236
4299,0.14029866456985474
4349,0.1378173530101776
4399,0.13458512723445892
4449,0.13280877470970154
4499,0.12930667400360107
4549,0.12736666202545166
4599,0.12542124092578888
4649,0.12251345813274384
4699,0.12087760120630264
4749,0.1186629980802536
4799,0.11598251014947891
4849,0.11440573632717133
4899,0.11208250373601913
4949,0.11044494062662125
4999,0.10882517695426941
5049,0.10705117881298065
5099,0.10562940686941147
5149,0.10389138758182526
5199,0.1014392152428627
5249,0.1006297916173935
5299,0.09881884604692459
5349,0.0976111963391304
5399,0.09644535183906555
5449,0.09423913061618805
5499,0.09329459816217422
5549,0.09192115068435669
5599,0.09048280864953995
5649,0.08936931937932968
5699,0.08809643983840942
5749,0.08665403723716736
5799,0.08619077503681183
5849,0.08436542749404907
5899,0.08335262537002563
5949,0.08260370790958405
5999,0.08163928985595703
6049,0.08095429837703705
6099,0.07960721105337143
6149,0.07823202013969421
6199,0.07751432061195374
6249,0.07679305970668793
6299,0.07575619220733643
6349,0.07509447634220123
6399,0.07424270361661911
6449,0.07369029521942139
6499,0.07274545729160309
6549,0.07196210324764252
6599,0.07133790105581284
6649,0.07071691751480103
6699,0.07015316933393478
6749,0.06924539059400558
6799,0.06863818317651749
6849,0.06838005781173706
6899,0.06740981340408325
6949,0.06680433452129364
6999,0.0662664920091629
7049,0.06550358235836029
7099,0.06505821645259857
7149,0.06497709453105927
7199,0.06402772665023804
7249,0.06353691220283508
7299,0.06310053169727325
7349,0.06265462189912796
7399,0.06204795837402344
7449,0.06193891167640686
7499,0.06146436929702759
7549,0.06097690016031265
7599,0.06042793393135071
7649,0.060503195971250534
7699,0.05959676206111908
7749,0.059252068400382996
7799,0.05890330672264099
7849,0.058533500880002975
7899,0.058518048375844955
7949,0.05810621380805969
7999,0.05774413049221039
8049,0.057639043778181076
8099,0.05726104602217674
8149,0.05700981616973877
8199,0.056890442967414856
8249,0.05668042600154877
8299,0.05645418167114258
8349,0.056205421686172485
8399,0.056027933955192566
8449,0.0556345134973526
8499,0.055810004472732544
8549,0.055847860872745514
8599,0.055517323315143585
8649,0.055096570402383804
8699,0.05503552407026291
8749,0.05471663177013397
8799,0.05490105226635933
8849,0.05468408018350601
8899,0.05480584129691124
8949,0.05459221825003624
8999,0.054573915898799896
9049,0.05451074242591858
9099,0.054407596588134766
9149,0.05433173477649689
9199,0.054382748901844025
9249,0.05456316098570824
9299,0.054310765117406845
9349,0.05418138578534126
9399,0.05419693514704704
9449,0.054068177938461304
9499,0.05406185984611511
9549,0.05418921262025833
9599,0.054106153547763824
9649,0.054147869348526
9699,0.054096680134534836
9749,0.054207801818847656
