step,train_loss
49,7.701033592224121
99,7.4090118408203125
149,7.265292167663574
199,7.086422920227051
249,7.052082061767578
299,7.025152206420898
349,6.9552998542785645
399,6.934879779815674
449,6.883561134338379
499,6.905383586883545
549,6.860544204711914
599,6.844207763671875
649,6.8587188720703125
699,6.8880815505981445
749,6.850207328796387
799,6.8274688720703125
849,6.86107063293457
899,6.800234794616699
949,6.821030139923096
999,6.815572261810303
1049,6.809724807739258
1099,6.8098955154418945
1149,6.790943145751953
1199,6.838894844055176
1249,6.805376052856445
1299,6.780226707458496
1349,6.786355972290039
1399,6.788657188415527
1449,6.791261196136475
1499,6.783288955688477
1549,6.789834499359131
1599,6.786701202392578
1649,6.770101547241211
1699,6.7435302734375
1749,6.782366752624512
1799,6.728747367858887
1849,6.799029350280762
1899,6.764971733093262
1949,6.753409385681152
1999,6.770198822021484
2049,6.731192588806152
2099,6.7587690353393555
2149,6.733770370483398
2199,6.734821796417236
2249,6.717343807220459
2299,6.726022720336914
2349,6.761061668395996
2399,6.769301414489746
2449,6.739449501037598
2499,6.734443664550781
2549,6.750876426696777
2599,6.733046054840088
2649,6.743925094604492
2699,6.7451910972595215
2749,6.717670440673828
2799,6.7140092849731445
2849,6.743273735046387
2899,6.7131195068359375
2949,6.718687057495117
2999,6.722877025604248
3049,6.715253829956055
3099,6.698905944824219
3149,6.726723670959473
3199,6.701010704040527
3249,6.710772514343262
3299,6.686661720275879
3349,6.702744960784912
3399,6.686544418334961
3449,6.7401227951049805
3499,6.705667972564697
3549,6.7187957763671875
3599,6.701458930969238
3649,6.684172630310059
3699,6.722506999969482
3749,6.714879512786865
3799,6.6985249519348145
3849,6.707975387573242
3899,6.7083587646484375
3949,6.696381568908691
3999,6.7029619216918945
4049,6.677445411682129
4099,6.671409606933594
4149,6.694798469543457
4199,6.718453407287598
4249,6.658627510070801
4299,6.699918746948242
4349,6.669981479644775
4399,6.665202617645264
4449,6.677698612213135
4499,6.692263603210449
4549,6.7021074295043945
4599,6.684159278869629
4649,6.6896772384643555
4699,6.747987747192383
4749,6.657753944396973
4799,6.694079875946045
4849,6.655063629150391
4899,6.6680803298950195
4949,6.68053674697876
4999,6.6912384033203125
5049,6.703922271728516
5099,6.675276279449463
5149,6.677891731262207
5199,6.658339977264404
5249,6.681621074676514
5299,6.674190521240234
5349,6.680196762084961
5399,6.704268932342529
5449,6.6725053787231445
5499,6.697301864624023
5549,6.686561584472656
5599,6.690132141113281
5649,6.653585433959961
5699,6.661370754241943
5749,6.663568496704102
5799,6.646119117736816
5849,6.642756462097168
5899,6.686200141906738
5949,6.632821083068848
5999,6.652851104736328
6049,6.658906936645508
6099,6.676870346069336
6149,6.651788711547852
6199,6.656717300415039
6249,6.652312755584717
6299,6.673442363739014
6349,6.668392181396484
6399,6.687353134155273
6449,6.672050476074219
6499,6.644575595855713
6549,6.679121971130371
6599,6.65335750579834
6649,6.702829360961914
6699,6.630490779876709
6749,6.656452655792236
6799,6.649877548217773
6849,6.649837493896484
6899,6.639883041381836
6949,6.675158500671387
6999,6.638978004455566
7049,6.673798561096191
7099,6.655155181884766
7149,6.651021957397461
7199,6.650186538696289
7249,6.65140438079834
7299,6.64115047454834
7349,6.647215366363525
7399,6.63448429107666
7449,6.662824630737305
7499,6.646101951599121
7549,6.648305892944336
7599,6.6427507400512695
7649,6.660857200622559
7699,6.6356282234191895
7749,6.639489650726318
7799,6.653564453125
7849,6.6321210861206055
7899,6.636839866638184
7949,6.649779319763184
7999,6.661128044128418
8049,6.640268325805664
8099,6.639951705932617
8149,6.641575813293457
8199,6.668668746948242
8249,6.654411315917969
8299,6.630547523498535
8349,6.648262977600098
8399,6.653115272521973
8449,6.6266560554504395
8499,6.645874977111816
8549,6.6407670974731445
8599,6.651190757751465
8649,6.643588066101074
8699,6.653510093688965
8749,6.637770652770996
8799,6.625323295593262
8849,6.660760879516602
8899,6.6580891609191895
8949,6.651291847229004
8999,6.6338043212890625
9049,6.62816047668457
9099,6.638040542602539
9149,6.642397880554199
9199,6.6391496658325195
9249,6.653905868530273
9299,6.632759094238281
9349,6.639325141906738
9399,6.650028705596924
9449,6.656194686889648
9499,6.633292198181152
9549,6.626483917236328
