step,kNN_accuracy
179,23.592357635498047
359,24.509553909301758
539,25.146495819091797
719,25.197452545166016
899,25.375795364379883
1079,25.60509490966797
1259,26.114648818969727
1439,26.191082000732422
1619,25.477706909179688
1799,25.528663635253906
1979,25.808917999267578
2159,25.324838638305664
2339,25.375795364379883
2519,26.063695907592773
2699,25.757963180541992
2879,26.063695907592773
3059,25.4267520904541
3239,26.089170455932617
3419,26.598724365234375
3599,27.08280372619629
3779,27.08280372619629
3959,27.05732536315918
4139,28.101911544799805
4319,28.05095672607422
4499,27.21019172668457
4679,27.51592445373535
4859,28.585988998413086
5039,28.33121109008789
5219,27.898088455200195
5399,28.101911544799805
5579,28.076435089111328
5759,28.866243362426758
5939,28.30573272705078
6119,27.97452163696289
6299,28.433120727539062
6479,27.97452163696289
6659,28.203821182250977
6839,27.97452163696289
7019,27.872610092163086
7199,27.61783218383789
