step,Cor_view_jk_01
49,1.0
99,1.0
149,1.0
199,1.0
249,1.0
299,1.0
349,1.0
399,1.0
449,1.0
499,1.0
549,1.0
599,1.0
649,1.0
699,0.9999998807907104
749,1.0
799,1.0
849,1.0
899,1.0
949,1.0
999,1.0
1049,1.0
1099,1.0
1149,1.0
1199,1.0
1249,1.0
1299,1.0
1349,1.0
1399,1.0
1449,1.0
1499,1.0
1549,1.0
1599,1.0
1649,1.0
1699,1.0
1749,1.0
1799,1.0
1849,1.0
1899,1.0
1949,1.0
1999,1.0
2049,1.0
2099,1.0
2149,1.0
2199,1.0
2249,1.0
2299,1.0
2349,1.0
2399,1.0
2449,1.0
2499,1.0
2549,1.0
2599,1.0
2649,1.0
2699,1.0
2749,1.0
2799,1.0
2849,1.0
2899,1.0
2949,0.9999999403953552
2999,1.0
3049,1.0
3099,1.0
3149,1.0
3199,1.0
3249,1.0
3299,1.0
3349,1.0
3399,1.0
3449,1.0
3499,1.0
3549,1.0
3599,1.0
3649,1.0
3699,1.0
3749,1.0
3799,1.0
3849,1.0
3899,1.0
3949,1.0
3999,1.0
4049,1.0
4099,1.0
4149,1.0
4199,1.0
4249,1.0
4299,1.0
4349,1.0000005960464478
4399,1.0
4449,1.0000001192092896
4499,1.0
4549,1.0
4599,1.0
4649,1.0
4699,1.0
4749,1.0
4799,1.0
4849,1.0
4899,0.9999998807907104
4949,0.9999999403953552
4999,1.0
5049,1.0
5099,0.9999999403953552
5149,1.0
5199,1.0
5249,1.0
5299,1.0
5349,0.9999999403953552
5399,1.0
5449,1.0
5499,1.0
5549,1.0
5599,1.0
5649,1.0
5699,1.0
5749,1.0
5799,1.0
5849,1.0
5899,1.0
5949,1.0
5999,1.0
6049,1.0
6099,1.0
6149,1.000000238418579
6199,1.0
6249,1.0
6299,1.0
6349,1.0
6399,1.0
6449,0.9999998807907104
6499,1.0
6549,1.0
6599,1.0
6649,1.0
6699,1.0
6749,1.000000238418579
6799,1.0
6849,1.0
6899,1.000000238418579
6949,1.0
6999,1.0
7049,1.0
7099,1.0
7149,1.0
7199,1.0
7249,1.0
7299,1.0
7349,1.0
7399,1.000000238418579
7449,1.0
7499,1.0
7549,1.0
7599,1.0
7649,1.0
7699,1.0
7749,1.0
7799,1.0000001192092896
7849,0.9999999403953552
7899,1.0
7949,1.0
7999,1.0000001192092896
8049,1.0
8099,1.0
8149,1.0
8199,1.0
8249,1.0
8299,1.0
8349,1.0
8399,1.0
8449,1.000000238418579
8499,1.0
8549,1.0
8599,1.0
8649,1.000001072883606
8699,1.0
8749,1.0
8799,1.0
8849,1.0000001192092896
8899,0.9999969005584717
8949,1.0000001192092896
8999,0.9999998211860657
9049,1.0
9099,0.9999998211860657
9149,0.9999999403953552
9199,1.0
9249,1.0
9299,1.0
9349,1.0
9399,1.0000003576278687
9449,1.0
9499,0.9999999403953552
9549,1.0
9599,1.0000004768371582
9649,1.0
9699,1.0
9749,1.0
9799,0.9999998807907104
9849,1.0
9899,1.0
9949,1.0
9999,1.0
10049,1.0
10099,1.0
10149,1.000000238418579
10199,1.0
10249,0.9999998807907104
10299,1.0
10349,1.0
10399,1.0
10449,1.0000182390213013
10499,1.0
10549,1.0
10599,1.0
10649,1.0
10699,1.0
10749,1.0
10799,0.9999999403953552
10849,0.9999675154685974
10899,1.0
10949,1.000000238418579
10999,0.9999982118606567
11049,1.0
11099,0.9999985694885254
11149,1.0
11199,1.0000001192092896
11249,1.0
11299,1.0
11349,1.0
11399,1.000000238418579
11449,1.0
11499,0.9999997615814209
11549,1.0
11599,1.0
11649,1.0
11699,1.0
11749,0.9999992847442627
11799,1.0
11849,1.0
11899,1.0000042915344238
11949,1.0
11999,1.0000003576278687
12049,1.0
12099,0.9999996423721313
12149,1.0
12199,0.9999994039535522
12249,1.0
12299,1.0
12349,1.0
12399,0.9999992847442627
12449,0.9999999403953552
12499,1.0
12549,1.0
12599,1.0
12649,0.999991774559021
12699,0.9999998807907104
12749,0.9999992847442627
12799,0.9999969601631165
12849,1.0
12899,1.0
12949,0.999984085559845
12999,0.9999997615814209
13049,1.0000098943710327
13099,1.000001311302185
13149,0.9999998807907104
13199,1.0000001192092896
13249,1.0000001192092896
13299,0.9999992251396179
13349,1.0
13399,1.0
13449,1.0
13499,1.0
13549,1.0
13599,1.0000108480453491
13649,1.0000001192092896
13699,0.9999997019767761
13749,0.9999982714653015
13799,0.9999998807907104
13849,0.9999990463256836
13899,0.9999999403953552
13949,1.0
13999,1.0
14049,1.0
14099,1.0
14149,1.0000001192092896
14199,0.9999999403953552
14249,0.9999997019767761
14299,0.9999985694885254
14349,1.0000001192092896
14399,0.9999995827674866
14449,1.0000008344650269
14499,0.9999868869781494
14549,1.000000238418579
14599,1.0
14649,0.9999979138374329
14699,1.0
14749,0.999999463558197
14799,1.0
14849,1.0
14899,1.0
14949,0.999996542930603
14999,0.9999996423721313
15049,0.9999958276748657
15099,1.0
15149,1.0
15199,1.0
15249,1.0
15299,0.9999997615814209
15349,1.0000007152557373
15399,1.0
15449,0.9999999403953552
15499,1.0
15549,1.0
15599,1.0000011920928955
15649,1.0
15699,1.0
15749,1.0
15799,1.0
15849,1.0
15899,1.0
15949,1.0
15999,1.0
16049,1.0
16099,1.0
16149,1.0
16199,1.0
16249,1.0
16299,1.0
16349,0.9999998807907104
16399,1.0
16449,1.0
16499,1.0
16549,1.0
16599,1.0
16649,1.0
16699,1.0
16749,1.0
16799,1.0
16849,1.0
16899,0.9999999403953552
16949,1.0
16999,1.0000011920928955
17049,0.9999997615814209
17099,1.0
17149,0.9999999403953552
17199,1.0
17249,0.9999999403953552
17299,1.0000001192092896
17349,0.9999994039535522
17399,0.9999990463256836
17449,1.0
17499,1.0
17549,1.0
17599,1.0000019073486328
17649,1.0000107288360596
17699,1.0
17749,1.0
17799,1.000000238418579
17849,1.0
17899,0.9999997019767761
17949,1.0
17999,1.0
18049,0.9999995827674866
18099,1.0
18149,0.9999998807907104
18199,1.000001072883606
18249,1.0
18299,1.0
18349,1.0
18399,1.0000001192092896
18449,1.0
18499,0.9999998807907104
18549,1.0
18599,1.000000238418579
18649,1.0
18699,0.9999997019767761
18749,1.0000001192092896
18799,0.9999999403953552
18849,1.0
18899,1.0
