step,kNN_accuracy
179,37.044586181640625
359,40.22930145263672
539,46.24203872680664
719,47.79617691040039
899,47.668792724609375
1079,51.10828399658203
1259,52.891719818115234
1439,55.312103271484375
1619,60.07643508911133
1799,59.337581634521484
1979,61.01911163330078
2159,61.426753997802734
2339,63.261146545410156
2519,62.21656036376953
2699,64.84076690673828
2879,66.85350799560547
3059,67.8216552734375
3239,70.77706909179688
3419,73.04458618164062
3599,71.4649658203125
3779,73.63056945800781
3959,75.84712982177734
4139,74.36942291259766
4319,76.8917236328125
4499,77.78343963623047
4679,77.32484436035156
4859,79.15923309326172
5039,79.5414047241211
5219,79.03184509277344
5399,80.66241455078125
5579,80.84076690673828
5759,81.01911163330078
5939,81.63057708740234
6119,81.29936218261719
6299,82.4203872680664
6479,81.14649963378906
6659,81.57962036132812
6839,81.7070083618164
7019,81.91082763671875
7199,81.96178436279297
