step,Cor_feature_ij_10_emb
49,0.5117692947387695
99,0.2996646761894226
149,0.30726003646850586
199,0.3414948582649231
249,0.32682210206985474
299,0.33527952432632446
349,0.31023889780044556
399,0.29749366641044617
449,0.31473201513290405
499,0.3058544397354126
549,0.32091793417930603
599,0.3049542009830475
649,0.297848641872406
699,0.30043235421180725
749,0.3003734052181244
799,0.29648876190185547
849,0.2963346242904663
899,0.2906549274921417
949,0.2916749119758606
999,0.2822350859642029
1049,0.28856003284454346
1099,0.278076708316803
1149,0.2757388651371002
1199,0.27065080404281616
1249,0.282753050327301
1299,0.28515011072158813
1349,0.27353769540786743
1399,0.27568548917770386
1449,0.2842479348182678
1499,0.28889012336730957
1549,0.28231120109558105
1599,0.27893221378326416
1649,0.2720724940299988
1699,0.27249908447265625
1749,0.26443272829055786
1799,0.2755310833454132
1849,0.26859819889068604
1899,0.2770712971687317
1949,0.2787013053894043
1999,0.2564491629600525
2049,0.2631266713142395
2099,0.2759591042995453
2149,0.265113890171051
2199,0.27348995208740234
2249,0.2611065208911896
2299,0.2513280212879181
2349,0.28024789690971375
2399,0.2592853307723999
2449,0.25386860966682434
2499,0.2565937042236328
2549,0.2581471800804138
2599,0.24877594411373138
2649,0.2633565664291382
2699,0.26210224628448486
2749,0.26751166582107544
2799,0.26076072454452515
2849,0.2555462718009949
2899,0.2705504596233368
2949,0.25045761466026306
2999,0.27422142028808594
3049,0.26460760831832886
3099,0.2594243884086609
3149,0.2625170052051544
3199,0.27280402183532715
3249,0.2684660255908966
3299,0.27177876234054565
3349,0.2658485770225525
3399,0.2453351616859436
3449,0.2738877534866333
3499,0.2700917720794678
3549,0.2459673285484314
3599,0.25907233357429504
3649,0.25577396154403687
3699,0.2695235013961792
3749,0.2720300555229187
3799,0.26155737042427063
3849,0.2519209682941437
3899,0.2540566921234131
