step,kNN_accuracy
1949,38.4461555480957
3899,40.325965881347656
5849,38.09619140625
7799,40.97590255737305
9749,42.47574996948242
11699,46.32536697387695
13649,47.80522155761719
15599,49.70502853393555
17549,50.29497146606445
19499,50.144989013671875
