step,kNN_accuracy
179,41.273887634277344
359,43.69426727294922
539,50.6751594543457
719,53.85987091064453
899,56.305728912353516
1079,57.88534927368164
1259,58.92993927001953
1439,60.76433181762695
1619,62.01273727416992
1799,64.0764389038086
1979,64.33120727539062
2159,65.1719741821289
2339,66.39490509033203
2519,67.23566436767578
2699,66.95541381835938
2879,69.42675018310547
3059,69.83439636230469
3239,69.88534545898438
3419,71.59235382080078
3599,71.49044799804688
3779,73.2484130859375
3959,73.83439636230469
4139,74.21656036376953
4319,74.8280258178711
4499,75.49044799804688
4679,76.71337890625
4859,77.63057708740234
5039,78.52229309082031
5219,78.42037963867188
5399,79.9235610961914
5579,80.50955200195312
5759,80.73885345458984
5939,81.40127563476562
6119,81.9363021850586
6299,82.49681854248047
6479,83.10828399658203
6659,82.8280258178711
6839,83.15924072265625
7019,83.08280181884766
7199,82.77706909179688
