step,Cor_view_jk_10_emb
49,0.7051878571510315
99,0.8125959634780884
149,0.8360172510147095
199,0.8460121154785156
249,0.8724789619445801
299,0.8348034620285034
349,0.8559137582778931
399,0.8812445402145386
449,0.859540581703186
499,0.8573970794677734
549,0.8149967193603516
599,0.8072720170021057
649,0.7628607749938965
699,0.8702595829963684
749,0.8173381090164185
799,0.8333237171173096
849,0.7257223129272461
899,0.8047608137130737
949,0.7178407907485962
999,0.8458847999572754
1049,0.7799079418182373
1099,0.7820034027099609
1149,0.738819420337677
1199,0.726087212562561
1249,0.6386815309524536
1299,0.7198033332824707
1349,0.7025365829467773
1399,0.7703701257705688
1449,0.7740148901939392
1499,0.7279354333877563
1549,0.7668914794921875
1599,0.7256367206573486
1649,0.7277253866195679
1699,0.7288866639137268
1749,0.6172384023666382
1799,0.7421596646308899
1849,0.7272752523422241
1899,0.7306363582611084
1949,0.6484725475311279
1999,0.6300778388977051
2049,0.7967895269393921
2099,0.656909704208374
2149,0.668580174446106
2199,0.7426549196243286
2249,0.6239141225814819
2299,0.7159885168075562
2349,0.7225898504257202
2399,0.6725814342498779
2449,0.6171549558639526
2499,0.6318404078483582
2549,0.6589410305023193
2599,0.6806992292404175
2649,0.6886419653892517
2699,0.6258612871170044
2749,0.6347496509552002
2799,0.6929583549499512
2849,0.7732343673706055
2899,0.7300370931625366
2949,0.5787329077720642
2999,0.6254584789276123
3049,0.7188225984573364
3099,0.6899774074554443
3149,0.6727632284164429
3199,0.6682354211807251
3249,0.6276101469993591
3299,0.6934184432029724
3349,0.597488284111023
3399,0.63373863697052
3449,0.5972894430160522
3499,0.6384395360946655
3549,0.6519461870193481
3599,0.6238464117050171
3649,0.6258695125579834
3699,0.6323715448379517
3749,0.6475199460983276
3799,0.5961202383041382
3849,0.6735630035400391
3899,0.6929978132247925
3949,0.668254554271698
3999,0.6804689168930054
4049,0.6291738748550415
4099,0.6293952465057373
4149,0.6448676586151123
4199,0.6111770868301392
4249,0.6280407309532166
4299,0.6122339963912964
4349,0.6228025555610657
4399,0.6415804624557495
4449,0.6658210754394531
4499,0.6368343830108643
4549,0.6296460032463074
4599,0.62827467918396
4649,0.6667585372924805
4699,0.6588932871818542
4749,0.6179125308990479
4799,0.5924094915390015
4849,0.6470798850059509
4899,0.6637077331542969
4949,0.6521409153938293
4999,0.627943754196167
5049,0.5450053811073303
5099,0.6175389289855957
5149,0.662270188331604
5199,0.5782411098480225
5249,0.6278738975524902
5299,0.630681574344635
5349,0.6448421478271484
5399,0.6757090091705322
5449,0.6207312345504761
5499,0.623477578163147
5549,0.6821428537368774
5599,0.6311559677124023
5649,0.6939254403114319
5699,0.635726273059845
5749,0.6643073558807373
5799,0.6369592547416687
5849,0.5704374313354492
5899,0.6288543939590454
5949,0.6018679141998291
5999,0.6750811338424683
6049,0.6223261952400208
6099,0.6417989134788513
6149,0.6688445806503296
6199,0.6425204873085022
6249,0.6732431650161743
6299,0.644824743270874
6349,0.5934892296791077
6399,0.5949733257293701
6449,0.568793773651123
6499,0.6409716606140137
6549,0.6637731790542603
6599,0.6613081693649292
6649,0.6331439018249512
6699,0.6859367489814758
6749,0.6523124575614929
6799,0.5778559446334839
6849,0.6976833343505859
6899,0.5843572020530701
6949,0.6504249572753906
6999,0.6343958377838135
7049,0.6507068872451782
7099,0.6301814317703247
7149,0.6222562789916992
7199,0.6254150867462158
7249,0.6632038354873657
7299,0.5810149908065796
7349,0.6026326417922974
7399,0.677202582359314
7449,0.6529406309127808
7499,0.612838089466095
7549,0.6061536073684692
7599,0.6267468929290771
7649,0.6473900675773621
7699,0.6389445066452026
7749,0.6440889835357666
7799,0.6263935565948486
7849,0.634061336517334
7899,0.6443851590156555
7949,0.6815833449363708
7999,0.6517165899276733
8049,0.6814207434654236
8099,0.6224733591079712
8149,0.6446710824966431
8199,0.5871251821517944
8249,0.6579574346542358
8299,0.6081975698471069
8349,0.6143099069595337
8399,0.6452540755271912
8449,0.6037116050720215
8499,0.6452606916427612
8549,0.6178563833236694
8599,0.6880823373794556
8649,0.6262373924255371
8699,0.6852766871452332
8749,0.6703451871871948
8799,0.6347994804382324
8849,0.6913635730743408
8899,0.5908650159835815
8949,0.5962026119232178
8999,0.6564697027206421
9049,0.6469296813011169
9099,0.650611162185669
9149,0.5544583201408386
9199,0.6506867408752441
9249,0.6502779722213745
9299,0.6196784973144531
9349,0.6537666916847229
9399,0.652828574180603
9449,0.6940275430679321
9499,0.6336772441864014
9549,0.6138023138046265
9599,0.6845459938049316
9649,0.5862491130828857
9699,0.6094174385070801
9749,0.6572403907775879
