step,kNN_accuracy
974,39.306068420410156
1949,45.745426177978516
2924,51.95480728149414
3899,53.90460968017578
4874,58.37416076660156
5849,61.84381866455078
6824,61.8938102722168
7799,63.093692779541016
8774,62.88371276855469
9749,64.30357360839844
10724,65.91340637207031
11699,66.62333679199219
12674,66.41336059570312
13649,67.34326171875
14624,67.81321716308594
15599,67.84321594238281
16574,67.74322509765625
17549,69.07308959960938
18524,69.83301544189453
19499,70.972900390625
20474,70.75292205810547
21449,72.36276245117188
22424,71.89280700683594
23399,72.75272369384766
24374,73.51264953613281
25349,73.84261322021484
26324,74.55254364013672
27299,74.48255157470703
28274,75.89241027832031
29249,75.44245910644531
30224,76.5123519897461
31199,76.61234283447266
32174,76.92230987548828
33149,75.79241943359375
34124,76.5123519897461
35099,77.2122802734375
36074,77.9822006225586
37049,78.07218933105469
38024,78.04219818115234
38999,78.00220489501953
