step,kNN_accuracy
179,33.60509490966797
359,33.6815299987793
539,33.96178436279297
719,34.11465072631836
899,33.57961654663086
1079,33.22292709350586
1259,34.11465072631836
1439,33.85987091064453
1619,34.01273727416992
1799,33.63057327270508
1979,34.19108581542969
2159,33.88534927368164
2339,32.891719818115234
2519,34.21656036376953
2699,33.88534927368164
2879,33.27388381958008
3059,33.75796127319336
3239,33.91082763671875
3419,33.3248405456543
3599,33.80891799926758
3779,33.070064544677734
3959,34.08917236328125
4139,34.36942672729492
4319,33.91082763671875
4499,34.16560745239258
4679,34.08917236328125
4859,34.08917236328125
5039,33.63057327270508
5219,34.292991638183594
5399,33.707008361816406
5579,33.93630599975586
5759,33.91082763671875
5939,33.83439636230469
6119,34.42038345336914
6299,33.88534927368164
6479,33.78343963623047
6659,33.85987091064453
6839,33.78343963623047
7019,33.65605163574219
7199,33.91082763671875
