step,Cor_batch_ik_00
49,0.12055472284555435
99,0.16005831956863403
149,0.17530089616775513
199,0.13543283939361572
249,0.15310002863407135
299,0.1685665249824524
349,0.13701201975345612
399,0.1500687152147293
449,0.15175515413284302
499,0.16175870597362518
549,0.13648563623428345
599,0.16545166075229645
649,0.15310600399971008
699,0.15003733336925507
749,0.17585210502147675
799,0.16370171308517456
849,0.15696610510349274
899,0.15907225012779236
949,0.16024281084537506
999,0.1582086980342865
1049,0.15507426857948303
1099,0.1561591625213623
1149,0.1540234386920929
1199,0.14772865176200867
1249,0.16174055635929108
1299,0.15630121529102325
1349,0.1449001133441925
1399,0.15509678423404694
1449,0.1569327414035797
1499,0.15346571803092957
1549,0.16157880425453186
1599,0.15825679898262024
1649,0.14335712790489197
1699,0.14938588440418243
1749,0.14024610817432404
1799,0.15761405229568481
1849,0.1568906605243683
1899,0.15225736796855927
1949,0.15223342180252075
1999,0.15468741953372955
2049,0.15445098280906677
2099,0.15798363089561462
2149,0.1481243371963501
2199,0.15238378942012787
2249,0.1587459146976471
2299,0.14627216756343842
2349,0.1505747139453888
2399,0.14784163236618042
2449,0.14252720773220062
2499,0.15164576470851898
2549,0.15034422278404236
2599,0.14965365827083588
2649,0.14840750396251678
2699,0.14633986353874207
2749,0.1401403695344925
2799,0.15278682112693787
2849,0.14585144817829132
2899,0.14500868320465088
2949,0.15005958080291748
2999,0.14438028633594513
3049,0.1451980322599411
3099,0.14678199589252472
3149,0.14908882975578308
3199,0.14873449504375458
3249,0.14841951429843903
3299,0.14848637580871582
3349,0.14594078063964844
3399,0.14072225987911224
3449,0.14881037175655365
3499,0.1480637490749359
3549,0.15171471238136292
3599,0.1435617208480835
3649,0.15466758608818054
3699,0.15601995587348938
3749,0.15045955777168274
3799,0.15273010730743408
3849,0.14478178322315216
3899,0.15215221047401428
3949,0.1492062360048294
3999,0.14456355571746826
4049,0.144725039601326
4099,0.14384643733501434
4149,0.153073251247406
4199,0.14699186384677887
4249,0.14231789112091064
4299,0.1512153148651123
4349,0.15415149927139282
4399,0.144687220454216
4449,0.14575320482254028
4499,0.14043423533439636
4549,0.14044886827468872
4599,0.14801815152168274
4649,0.1481376588344574
4699,0.13600213825702667
4749,0.13988928496837616
4799,0.1450168937444687
4849,0.14210519194602966
4899,0.14064529538154602
4949,0.13985292613506317
4999,0.15025164186954498
5049,0.13990992307662964
5099,0.14330820739269257
5149,0.14270487427711487
5199,0.14563414454460144
5249,0.14851538836956024
5299,0.14308954775333405
5349,0.13585686683654785
5399,0.1367197185754776
5449,0.14354439079761505
5499,0.14510957896709442
5549,0.1462993025779724
5599,0.14619037508964539
5649,0.14780615270137787
5699,0.15113531053066254
5749,0.14510169625282288
5799,0.14556695520877838
5849,0.1472412496805191
5899,0.1483469158411026
5949,0.13942833244800568
5999,0.14869435131549835
6049,0.1436304897069931
6099,0.14554372429847717
6149,0.13786804676055908
6199,0.13737040758132935
6249,0.14297795295715332
6299,0.14762650430202484
6349,0.1479480117559433
6399,0.1434023231267929
6449,0.1418921947479248
6499,0.1408129185438156
6549,0.14934596419334412
6599,0.1489832103252411
6649,0.14073604345321655
6699,0.14157633483409882
6749,0.1486852765083313
6799,0.14262446761131287
6849,0.15157468616962433
6899,0.14324888586997986
6949,0.14435207843780518
6999,0.1393711119890213
7049,0.14670060575008392
7099,0.14414723217487335
7149,0.14637432992458344
7199,0.1478513777256012
7249,0.13713259994983673
7299,0.1431388258934021
7349,0.1385372281074524
7399,0.14234107732772827
7449,0.14328128099441528
7499,0.1462734043598175
7549,0.1480552852153778
7599,0.14948618412017822
7649,0.14546486735343933
7699,0.1429624855518341
7749,0.14529576897621155
7799,0.14310316741466522
7849,0.14233656227588654
7899,0.14034712314605713
7949,0.14775033295154572
7999,0.14881056547164917
8049,0.14219649136066437
8099,0.1434125006198883
8149,0.14230959117412567
8199,0.14797063171863556
8249,0.14232009649276733
8299,0.13967345654964447
8349,0.13467568159103394
8399,0.147444948554039
8449,0.13874444365501404
8499,0.14363250136375427
8549,0.14043982326984406
8599,0.14122702181339264
8649,0.14275741577148438
8699,0.14891019463539124
8749,0.1434948444366455
8799,0.1408083140850067
8849,0.14470095932483673
8899,0.14345329999923706
8949,0.142301544547081
8999,0.14594702422618866
9049,0.1427396982908249
9099,0.14716780185699463
9149,0.14329655468463898
9199,0.14423926174640656
9249,0.13628733158111572
9299,0.14440476894378662
9349,0.14786478877067566
9399,0.13945317268371582
9449,0.14263027906417847
9499,0.1373750865459442
9549,0.14141857624053955
9599,0.14534097909927368
9649,0.13741642236709595
9699,0.14554694294929504
9749,0.14336690306663513
9799,0.1463829129934311
9849,0.14207017421722412
9899,0.14068253338336945
9949,0.14416281878948212
9999,0.13976682722568512
10049,0.13936229050159454
10099,0.14439286291599274
10149,0.13732783496379852
10199,0.1393974870443344
10249,0.14356940984725952
10299,0.1399945765733719
10349,0.14294616878032684
10399,0.135906383395195
10449,0.14542856812477112
10499,0.142905592918396
10549,0.14155016839504242
10599,0.14400294423103333
10649,0.144618958234787
10699,0.13977433741092682
10749,0.13585098087787628
10799,0.1411343663930893
10849,0.13960584998130798
10899,0.14707745611667633
10949,0.1389191895723343
10999,0.1363801658153534
11049,0.1451869010925293
11099,0.14209744334220886
11149,0.14335712790489197
11199,0.14574778079986572
11249,0.14305739104747772
11299,0.13676971197128296
11349,0.13956336677074432
11399,0.14380565285682678
11449,0.13821139931678772
11499,0.14856161177158356
11549,0.14514125883579254
11599,0.14600321650505066
11649,0.13940145075321198
11699,0.1373324990272522
11749,0.14382444322109222
11799,0.14040294289588928
11849,0.1382250040769577
11899,0.143301323056221
11949,0.13804608583450317
11999,0.14060059189796448
12049,0.14704664051532745
12099,0.13987620174884796
12149,0.14068426191806793
12199,0.1454504281282425
12249,0.14193621277809143
12299,0.14005832374095917
12349,0.14388157427310944
12399,0.14012858271598816
12449,0.1412658989429474
12499,0.13735008239746094
12549,0.1368730217218399
12599,0.13998983800411224
12649,0.14237280189990997
12699,0.14360226690769196
12749,0.14301131665706635
12799,0.13873255252838135
12849,0.13361871242523193
12899,0.1395220160484314
12949,0.13852588832378387
12999,0.1406150609254837
