step,Cor_batch_ik_01_emb
49,0.32562077
99,0.382235765
149,0.480437636
199,0.617259324
249,0.630223274
299,0.342808366
349,0.285476744
399,0.500103116
449,0.633995056
499,0.409523726
549,0.568199635
599,0.564773202
649,0.714626372
699,0.550692558
749,0.513740063
799,0.610566258
849,0.572293401
899,0.549422264
949,0.596909702
999,0.636239529
1049,0.61042428
1099,0.570976436
1149,0.585462868
1199,0.663938046
1249,0.800137877
1299,0.295885503
1349,0.504527152
1399,0.478991449
1449,0.585870981
1499,0.505083323
1549,0.501395166
1599,0.713923097
1649,0.480424762
1699,0.561046064
1749,0.66995573
1799,0.527680874
1849,0.65333581
1899,0.352850676
1949,0.512926102
1999,0.533734202
2049,0.543091416
2099,0.418349087
2149,0.337585211
2199,0.274781585
2249,0.689233065
2299,0.464992404
2349,0.217129499
2399,0.447293371
2449,0.482416809
2499,0.581589401
2549,0.624600232
2599,0.556081891
2649,0.591550708
2699,0.584373355
2749,0.650182128
2799,0.461463034
2849,0.575170875
2899,0.618434072
2949,0.765535712
2999,0.714185715
3049,0.680105925
3099,0.705515206
3149,0.55928272
3199,0.670354426
3249,0.642900467
3299,0.683691561
3349,0.557830691
3399,0.663729429
3449,0.77809298
3499,0.602845371
3549,0.712253451
3599,0.655346632
3649,0.643163443
3699,0.713656306
3749,0.716685295
3799,0.615069032
3849,0.642530203
3899,0.624034524
3949,0.687357783
3999,0.636551917
4049,0.746649384
4099,0.760523677
4149,0.736934841
4199,0.665480733
4249,0.734069288
4299,0.647561431
4349,0.543429971
4399,0.67999506
4449,0.666423082
4499,0.750100136
4549,0.731930137
4599,0.651273847
4649,0.657025456
4699,0.695219696
4749,0.699721098
4799,0.756504655
4849,0.743564725
4899,0.70104295
4949,0.673232734
4999,0.69178617
5049,0.661648631
5099,0.713599563
5149,0.715729475
5199,0.736418009
5249,0.681161404
5299,0.600139737
5349,0.63992089
5399,0.654593945
5449,0.705217123
5499,0.72897929
5549,0.67689538
5599,0.784363747
5649,0.680849314
5699,0.702727735
5749,0.710210443
5799,0.71231854
5849,0.734282374
5899,0.7346012
5949,0.692319751
5999,0.729919374
6049,0.739936829
6099,0.76321727
6149,0.710215926
6199,0.752480447
6249,0.688102603
6299,0.710577667
6349,0.73662293
6399,0.757793069
6449,0.715751767
6499,0.729944944
6549,0.723220468
6599,0.728258729
6649,0.723461807
6699,0.702798188
6749,0.753713727
6799,0.724756479
6849,0.762993097
6899,0.745117068
6949,0.714560986
6999,0.752344012
7049,0.801369607
7099,0.723764837
7149,0.828829706
7199,0.747755408
7249,0.761144757
7299,0.752937138
7349,0.7151016
7399,0.73668927
7449,0.729017496
7499,0.721456885
7549,0.738371372
7599,0.774839163
7649,0.756676853
7699,0.743018985
7749,0.745691299
7799,0.750647902
7849,0.722941101
7899,0.790216446
7949,0.746113539
7999,0.767342389
8049,0.722428679
8099,0.786178946
8149,0.773979902
8199,0.737584233
8249,0.772585034
8299,0.770056844
8349,0.767281055
8399,0.796245813
8449,0.757062793
8499,0.781861544
8549,0.762598455
8599,0.784847558
8649,0.74369669
8699,0.733594656
8749,0.729557037
8799,0.761220813
8849,0.779408038
8899,0.774028182
8949,0.759663165
8999,0.78919065
9049,0.768423319
9099,0.795172215
9149,0.814100504
9199,0.789470553
9249,0.778586149
9299,0.794184804
9349,0.760262787
9399,0.786815763
9449,0.74443084
9499,0.806022942
9549,0.764508665
9599,0.780284166
9649,0.741661906
9699,0.793687463
9749,0.798471451
