step,std_feature_emb
49,0.1166086345911026
99,0.13886995613574982
149,0.13987772166728973
199,0.14396722614765167
249,0.14367714524269104
299,0.14328904449939728
349,0.14621497690677643
399,0.14383523166179657
449,0.1453486829996109
499,0.14482250809669495
549,0.14520621299743652
599,0.14570079743862152
649,0.14657287299633026
699,0.14543119072914124
749,0.1469501256942749
799,0.14739225804805756
849,0.14373734593391418
899,0.14854441583156586
949,0.14751388132572174
999,0.1486356258392334
1049,0.14898481965065002
1099,0.15011553466320038
1149,0.1521766036748886
1199,0.1520160287618637
1249,0.15303857624530792
1299,0.15433481335639954
1349,0.1561460644006729
1399,0.15816767513751984
1449,0.16249917447566986
1499,0.16506966948509216
1549,0.16139106452465057
1599,0.1685117483139038
1649,0.1672728955745697
1699,0.16810916364192963
1749,0.1677943617105484
1799,0.16627399623394012
1849,0.17037682235240936
1899,0.16932645440101624
1949,0.1681704968214035
1999,0.16886816918849945
2049,0.16869895160198212
2099,0.16727764904499054
2149,0.16904237866401672
2199,0.17109160125255585
2249,0.16752219200134277
2299,0.1636190265417099
2349,0.16820161044597626
2399,0.1662578135728836
2449,0.16710114479064941
2499,0.16612881422042847
2549,0.1689557582139969
2599,0.16631507873535156
2649,0.16807451844215393
2699,0.16841833293437958
2749,0.16809546947479248
2799,0.16595880687236786
2849,0.1662842035293579
2899,0.16475656628608704
2949,0.16311219334602356
2999,0.16862785816192627
3049,0.16931656002998352
3099,0.17308054864406586
3149,0.17646171152591705
3199,0.17968520522117615
3249,0.18251310288906097
3299,0.18554237484931946
3349,0.18568909168243408
3399,0.18856793642044067
3449,0.1939755529165268
3499,0.19576163589954376
3549,0.19702458381652832
3599,0.20299220085144043
3649,0.20157109200954437
3699,0.2047690451145172
3749,0.2116716206073761
3799,0.21474257111549377
3849,0.21724696457386017
3899,0.22197027504444122
3949,0.2252751588821411
3999,0.22848372161388397
4049,0.23317117989063263
4099,0.23416192829608917
4149,0.23694372177124023
4199,0.23782844841480255
4249,0.24423351883888245
4299,0.2436375916004181
4349,0.24974952638149261
4399,0.2521823048591614
4449,0.2552855610847473
4499,0.25878775119781494
4549,0.26112666726112366
4599,0.26670539379119873
4649,0.2673972249031067
4699,0.2700021266937256
4749,0.2739325761795044
4799,0.2761538624763489
4849,0.279462069272995
4899,0.2824588716030121
4949,0.2871304452419281
4999,0.2887671887874603
5049,0.29143595695495605
5099,0.29330989718437195
5149,0.2974153459072113
5199,0.3002377152442932
5249,0.30155643820762634
5299,0.3048062026500702
5349,0.3067067265510559
