step,kNN_accuracy
974,42.30577087402344
1949,47.07529067993164
2924,50.25497817993164
3899,51.51484680175781
4874,55.47445297241211
5849,56.46435546875
6824,58.86410903930664
7799,59.844017028808594
8774,61.343868255615234
9749,62.21377944946289
